ID,Epic ID,Epic Name,Persona,User Story,Acceptance Criteria,Priority,Source,Assumptions,Uncertainty Level
US-0101,E01,Portal & Identidade gov.br,Beneficiária,"Como beneficiária (RH de uma empresa), quero acessar o portal do marketplace autenticando-me pelo gov.br, para entrar com minha identidade digital sem criar novo usuário e senha.","Dado que sou uma usuária com conta gov.br válida, quando acesso a URL do portal, então sou redirecionada ao provedor gov.br via OpenID Connect e retorno autenticada ao portal; Dado que concluí a autenticação gov.br, quando o token é validado, então uma sessão de usuário externo do Experience Cloud é estabelecida com meu CPF; Dado que a autenticação gov.br falha ou é cancelada, quando retorno ao portal, então recebo mensagem de erro clara e permaneço deslogada; Dado que meu nível de confiabilidade da conta gov.br (Bronze/Prata/Ouro) não atende ao mínimo exigido, quando tento entrar, então o acesso é bloqueado com orientação sobre o nível necessário.",High,".discovery-context.md:15,123 (login gov.br + Experience Cloud/Geride via MuleSoft) [KB: salesforce-revenue-cloud-marketplace-arch.md:39] (Experience Cloud suporta identidade externa/SSO gov.br via OpenID Connect)","Nível mínimo de confiabilidade gov.br a confirmar com MTE. A versão da licença de portal da beneficiária (Partner Community vs Customer Community Plus) segue em aberto (G0103/G0108) e não altera o fluxo de autenticação, mas condiciona quais objetos ela opera após o login.",Confirmed
US-0102,E01,Portal & Identidade gov.br,Beneficiária,"Como beneficiária, quero selecionar qual empresa desejo representar após o login, para operar o portal em nome do CNPJ correto usando minha procuração digital.","Dado que estou autenticada pelo gov.br, quando entro pela primeira vez na sessão, então vejo a tela 'Selecionar empresa que deseja representar' com a mensagem 'Seu CPF possui autorização para operar as empresas abaixo'; Dado que possuo vínculo com uma ou mais empresas, quando a lista carrega, então cada empresa aparece como card com Razão Social, CNPJ, tipo (Matriz/Filial) e chip de status 'Ativa'; Dado que seleciono um card e clico em Continuar, então o contexto de representação é fixado nessa empresa e sou direcionada ao início do portal; Dado que clico em Cancelar, então nenhum contexto é assumido e permaneço na tela de seleção.",High,.discovery-context.md:92-93 (protótipo Figma tela 2/3 'Selecionar empresa que deseja representar'),Protótipo demonstra a tela; regras de expiração/revogação da procuração a detalhar.,Confirmed
US-0103,E01,Portal & Identidade gov.br,Beneficiária,"Como beneficiária que representa muitas empresas, quero buscar a empresa por Razão Social ou CNPJ na tela de seleção, para localizar rapidamente o CNPJ que preciso operar.","Dado que estou na tela de seleção de empresa, quando digito parte da Razão Social ou do CNPJ no campo de busca, então a lista de cards é filtrada em tempo real pelos termos informados; Dado que a busca não retorna resultados, quando nenhum vínculo corresponde, então vejo mensagem de 'nenhuma empresa encontrada'; Dado que limpo o campo de busca, então a lista completa de empresas vinculadas é exibida novamente.",Medium,.discovery-context.md:92 (busca por Razão Social/CNPJ na tela de representação),Paginação necessária quando o CPF possui muitos vínculos (padrão de 10 itens observado em outras telas).,Confirmed
US-0104,E01,Portal & Identidade gov.br,Beneficiária,"Como beneficiária, quero que o portal exiba apenas as empresas para as quais tenho vínculo válido, para não operar indevidamente em nome de CNPJs que não represento.","Dado que faço login pelo gov.br, quando a tela de representação carrega, então o portal consulta os vínculos do meu CPF via integração GOV.BR/Geride pelo MuleSoft e exibe somente empresas com vínculo válido; Dado que uma empresa não possui vínculo ativo com meu CPF, quando a lista é montada, então essa empresa não aparece como selecionável; Dado que a integração de vínculos está indisponível, quando tento carregar a lista, então recebo mensagem de indisponibilidade e o acesso ao contexto de representação é bloqueado (fail-closed); Dado que um vínculo é revogado, quando reentro na sessão, então a empresa deixa de aparecer.",High,".discovery-context.md:15,123 (apenas empresas com vínculos válidos; validação via GOV.BR/Geride pelo MuleSoft) [KB: salesforce-revenue-cloud-marketplace-arch.md:38] (MuleSoft como camada de integração de identidade/auth)","Contrato de API do Geride para consulta de vínculos/procuração ainda não disponível (integração imatura, dados mockados na fase inicial). Comportamento fail-closed é recomendação Scopezilla a validar.",Assumed
US-0105,E01,Portal & Identidade gov.br,Beneficiária,"Como beneficiária que representa mais de uma empresa, quero trocar a empresa representada pelo menu superior sem deslogar, para operar em nome de outro CNPJ na mesma sessão.","Dado que estou operando no portal com uma empresa selecionada, quando abro o seletor de empresa no menu superior, então vejo as demais empresas que posso representar; Dado que escolho outra empresa, então o contexto de representação é trocado e os dados exibidos (cotações, folhas, contratos) passam a refletir o novo CNPJ; Dado que troco de empresa no meio de um formulário não salvo, então sou avisada de que dados não salvos serão perdidos antes de confirmar a troca.",Medium,.discovery-context.md:92 (troca de empresa pelo menu superior),Comportamento de perda de dados não salvos é recomendação de UX a validar.,Confirmed
US-0106,E01,Portal & Identidade gov.br,Beneficiária,"Como beneficiária de um grupo com matriz e filiais, quero que o portal distinga Matriz de Filial no contexto de representação, para operar cotações e folhas no CNPJ correto da estrutura.","Dado que meu CPF representa empresas do tipo Matriz e Filial, quando a tela de seleção carrega, então cada card indica claramente o tipo (Matriz/Filial); Dado que seleciono uma filial, então as operações do portal são vinculadas ao CNPJ daquela filial e não ao da matriz; Dado que uma operação exige o CNPJ da matriz, quando estou em contexto de filial, então o portal aplica a regra definida (bloqueio ou herança) de forma consistente.",Medium,.discovery-context.md:92 (tipo Matriz/Filial nos cards de representação),"Regra de negócio para operações matriz vs filial (herança, consolidação ou isolamento) não foi definida na discovery — gap a resolver com MTE/Dataprev.",Assumed
US-0107,E01,Portal & Identidade gov.br,Beneficiária,"Como beneficiária, quero navegar pelo portal por um menu lateral com as áreas do marketplace, para acessar cotação, folha, empresas credenciadas e demais funções a partir de um único ponto.","Dado que estou autenticada e com empresa representada, quando o portal carrega, então vejo o menu lateral com Início, Registros, Empresas Credenciadas, Cotação, Folha de Pagamento (com submenus Folha de Beneficiários e Histórico de Folhas), Facilitadores e Sair; Dado que clico em um item do menu, então navego para a área correspondente sem perder o contexto da empresa representada; Dado que não tenho permissão para uma área, quando o menu é renderizado, então o item não aparece ou aparece desabilitado.",High,.discovery-context.md:99-101 (menu lateral da Beneficiária),A capacidade de a beneficiária operar Cotação (Opportunity) e Comparação/Seleção (Quote) nativamente no portal depende da versão de licença (Customer Community Plus não expõe Opportunity/Quote; Partner Community é a candidata) — em aberto (G0103/G0108).,Confirmed
US-0108,E01,Portal & Identidade gov.br,Estabelecimento,"Como estabelecimento (restaurante/mercado), quero acessar o portal autenticando-me pelo gov.br, para iniciar meu credenciamento e acompanhar meu cadastro sem criar novas credenciais.","Dado que sou responsável por um estabelecimento com conta gov.br, quando acesso o portal, então sou autenticado via gov.br (OpenID Connect) e entro no contexto do estabelecimento que represento; Dado que meu CPF possui vínculo com um CNPJ de estabelecimento, quando entro, então opero em nome desse estabelecimento; Dado que ainda não tenho estabelecimento cadastrado, quando entro pela primeira vez, então sou direcionado ao fluxo de pré-cadastro/credenciamento.",High,".discovery-context.md:244,257 (credenciamento do estabelecimento via portal com login gov.br, não via API)","Credenciamento em si é E03; aqui cobre apenas identidade e primeiro acesso do estabelecimento. Estabelecimento tende a acesso esporádico (login-based), diferente da beneficiária.",Assumed
US-0109,E01,Portal & Identidade gov.br,Estabelecimento,"Como estabelecimento já credenciado, quero uma área no portal para visualizar e gerenciar meu cadastro, para consultar meu status de credenciamento e dados sem depender de uma facilitadora.","Dado que sou um estabelecimento autenticado, quando acesso minha área no portal, então vejo meu cadastro, situação (credenciado/pendente) e dados do estabelecimento; Dado que meu credenciamento está pendente, quando visualizo minha área, então vejo o que falta (documentos/licenças) e o status atual; Dado que preciso atualizar informações (ex.: renovação de licença), quando acesso a área de gerenciamento, então consigo iniciar a atualização.",Medium,".discovery-context.md:257,392 (parte do portal para visualização/gerenciamento do estabelecimento; retorno periódico para renovar licenças)",Conjunto de dados exibidos ao estabelecimento não foi definido na discovery ('não sei qual é informação hoje de estabelecimento teria'). A gestão de documentos/licenças pertence a E03; aqui é a superfície de portal.,Assumed
US-0110,E01,Portal & Identidade gov.br,Admin plataforma,"Como administrador da plataforma, quero que beneficiárias e estabelecimentos vejam experiências e permissões distintas conforme seu papel, para que cada ator acesse apenas as funções e dados que lhe competem.","Dado que um usuário autentica como beneficiária, quando o portal carrega, então ele vê a navegação e as ações da beneficiária (cotação, folha, contratos) e não as de estabelecimento; Dado que um usuário autentica como estabelecimento, quando o portal carrega, então ele vê apenas a área de credenciamento/gerenciamento do estabelecimento; Dado que um usuário tenta acessar por URL uma área fora do seu papel, então o acesso é negado por controle de permissão do lado servidor, não apenas por ocultação de menu; Dado que um usuário representa uma empresa, quando consulta dados, então vê somente registros do CNPJ representado (isolamento por compartilhamento).",High,".discovery-context.md:235,244 (perspectivas distintas de beneficiária e estabelecimento no portal; separação de atores)",Modelo de compartilhamento/perfis do Experience Cloud a detalhar em design; facilitadora é API-only (E05) e não consome licença de portal.,Assumed
