Epic ID,Epic Name,Description,Confidence,Depends On
E01,Posto de Trabalho do Atendente no Slack,"O atendente do guichê passa a trabalhar dentro do Slack: canais dedicados por serviço, Canvas fixado com a regra/conhecimento vigente (substitui o conhecimento isolado hoje disperso entre atendentes), e Agentforce disponível em contexto para dúvidas do próprio fluxo de atendimento.",Confirmed,
E02,Escalonamento em Tempo Real (Transbordo via Huddle),"Quando o caso foge do script (falha biométrica, documento divergente, dúvida fora do Canvas), o atendente aciona um huddle Slack com um especialista sem deixar a cadeira — substitui a coordenação hoje feita em grupos pessoais de WhatsApp, fora da governança institucional.",Confirmed,
E03,Roteamento de Capacidade Ociosa Entre Postos,"Visibilidade e roteamento de casos entre os 244 postos físicos + 900 totens de autoatendimento, direcionando demanda para onde há capacidade ociosa, sem necessidade de contratar mais atendentes.",Assumed,
E04,Workflow de Contingência (Sistema Fora do Ar),"Workflow Builder dispara aviso automático aos atendentes/postos quando um sistema crítico cai (ex.: sistema do Detran), evitando atendimento sem visibilidade do problema.",Confirmed,
E05,"Governança, Adoção e Change Management (Fase 1)","Papéis e responsabilidades, treinamento dos atendentes, política de canais e critérios de adoção do Slack como posto de trabalho — confirmado explicitamente em escopo pelo usuário na sessão de discovery.",Confirmed,
E06,Pré-Atendimento Digital via WhatsApp,"A cidadã recebe convite de triagem/pré-atendimento pelo WhatsApp antes do dia marcado no posto, reduzindo o volume de casos que chegam ao balcão sem preparo prévio (Jornada 02 do deck de plataforma).",Assumed,
E07,Validação Remota de Documentos por Atendente Ocioso,Um atendente ocioso em outro posto valida documentos à distância via Slack para acelerar o atendimento presencial em curso em outro balcão (extensão das Jornadas 01/03).,Assumed,
E08,Atendimento Agêntico 24/7 (Human-in-the-Loop),"Um agente de IA atende pelo WhatsApp 24 horas por dia, com supervisão humana, escalando para um atendente humano quando o caso exige (Jornada 04 do deck de plataforma).",Assumed,
E09,"Plataforma de Integração MuleSoft (Gov.br, Biometria, Legado, Sistema Semântico, T7)","Camada de integração MuleSoft ligando a Plataforma Salesforce Headless a gov.br, biometria estadual, sistemas legados da Prodesp, 'Sistema Semântico' e 'T7' — confirmada visualmente no diagrama de arquitetura do deck de plataforma. Identidades exatas de Sistema Semântico, 'Atendimento' e T7 permanecem abertas (ver Open Questions no Discovery Brief).",Unknown,
E10,Analytics e Previsibilidade de Atendimento,"Cruzamento de dados em tempo real via Data 360, algoritmo preditivo de tempo de espera, e retroalimentação analítica dos agentes de IA para melhoria contínua do atendimento. Os KPIs de exemplo (15/16/17 minutos) são ilustrativos e não validados pelo cliente.",Assumed,
