Section,Name,Task-Level Band,Realized Band,Driving / Amplified,Human-Only / Evidence,Sources,Narrative
Headline,Blended project-level,~30-40%,~12-18%,,Assumed,[1]; [2]; [3]; [5],Task-level ~30-40% × realization factor 0.40-0.45 = ~12-18% project-level. Mid readiness scenario (score 2/8) keeps this band; Low/High scenarios adjust.
Realization Factor,0.40-0.45,,,Mixed configuration (read-only APIs F1) + custom dev (Agentforce + Data Cloud F2/F3); Established enterprise client with existing Salesforce footprint (not greenfield); 7 legacy system integrations (MuleSoft/MCP) — moderate integration burden; Regulated context (LGPD/TCU) — review/approval overhead modestly reduces realized gains,,,Multi-cloud mixed config + custom dev (7 legacy integrations + Agentforce + Data Cloud) at established enterprise client. Standard gov realization per benchmarks.md.
Readiness Signal,AI tooling posture,,,score 0/2,"No AI tooling adoption signals in discovery (no mention of GitHub Copilot, Claude, Cursor, or similar developer tools). Huawei partnership (fev/2026) is pilot-phase research, not delivery tooling. [Discovery: Huawei IA partnership pilot, not production tooling for implementation team]",,
Readiness Signal,Delivery velocity / speed bias,,,score 1/2,"Competing pressures: mainframe sunset (jan/2026) + data breach (mai/2026) motivate urgency, BUT 68 gaps (many Unknowns) + Protheus governance blocker (G1002) unresolved + conservative federal-gov bureaucracy slow decision cycles. Mid velocity assumed. [Discovery: mainframe sunset urgency, breach pressure vs. 68 gaps + governance blocker unresolved]",,
Readiness Signal,Data & environment hygiene,,,score 1/2,"Mixed signals: 7 legacy systems fragmented (Pronto, Clarity, Protheus, CRM Totvs, Conexão, Teams, SEI) with no unified data model today (hygiene risk), BUT volumetrias unknown (G0102/G0201/G0302/G0701) — capacity planning blocked. Mid hygiene assumed. [Discovery: 7 fragmented systems + volumetrias gaps]",,
Readiness Signal,Legal / security / compliance posture,,,score 0/2,"Active blockers: Protheus governance blocker G1002 (TI+Jurídico+DPO tri-party approval pending), LGPD breach incident (2.8M CPFs mai/2026), TCU audit scrutiny. Compliance-heavy slows AI adoption (every model output needs human review for audit trail). [Discovery: G1002 blocker, LGPD breach mai/2026, TCU audit pressure]",,
Readiness Scenario,(current) Low readiness,,~10-14%,score range 0-2,Approve GitHub Copilot/Claude for PS delivery team (currently no AI tooling in use); Resolve Protheus governance blocker G1002 pre-kick-off (TI+Jurídico+DPO tri-party meeting); Define LGPD/TCU-compliant AI-assisted delivery policy (what level of human review required for model-generated code/config/docs),,"Current state per discovery signals. Gains stay modest until AI tooling approved for delivery team, Protheus governance blocker resolved (G1002), and compliance review process streamlined (LGPD/TCU manual audit trail for every AI output suppresses velocity)."
Readiness Scenario,Mid readiness,,~12-18%,score range 3-5,"Volumetrias audit complete (G0102/G0201/G0302/G0701) — data hygiene baseline established before F1; Data model reconciliation plan across 7 legacy systems (Contact B2B + employee unification, Case/Ticket Pronto history, Opportunity/Demand CRM Totvs) — reduces integration rework",,"Tooling unlocked, governance blocker resolved, compliance policy defined. Delivery team captures standard multi-cloud gains — config/doc acceleration + API connector generation + test data synthesis."
Readiness Scenario,High readiness,,~18-22%,score range 6-8,,,Conditions favor upper end: tooling + governance unblocked + data hygiene baseline + unified data model plan. Faster client with clean data captures more of the AI upside.
Category,Technical Engineering & QA,~25-35%,~10-16%,"Create Code (realistic enterprise / legacy); Analyze Code & Fix Defects; Generate Test Data | epics: E01, E02, E03, E06, E07, E08",,[1]; [3]; [5],"MuleSoft API connector generation (7 System APIs E01/E02/E03/E06/E07 + E08 Clarity unknown API) + Agentforce agent scaffolding (E06/E07 F2 writes) + test data synthesis (7-system integration testing E10). AI accelerates API mapping + boilerplate connectors [3], but legacy system API discovery/validation + Clarity API unknown (G0801) remain human-only. Multi-system integration testing (Pronto + CRM Totvs + Protheus + Clarity + Conexão + Teams + SEI) stays complex — AI generates synthetic test data but orchestration + regression testing review is human-led [5]. Cap: regulated context (LGPD/TCU audit trail) requires human review every API call logging implementation + Protheus perfil de acesso enforcement logic."
Category,Analysis & Design,~35-45%,~14-20%,"Requirement Analysis; System Design; Process Analysis | epics: E04, E06, E08, E09, E10",,[2]; [6],"Agentforce conversational intent design (E06/E07 J4/J3 — field mapping from voice/text to API required fields) + Data Cloud unified data model (E09 — Contact B2B/employee reconciliation, Case/Ticket Pronto 4+ related objects, Opportunity/Demand CRM Totvs) + RAG corpus indexing strategy (E04 Portal Conexão normativas + Slack AI channel recaps). AI drafts intent skeletons + data model mappings [2], but 68 gaps (many Unknowns/Assumed) + 7-system fragmentation force iteration. Experience Design gap (G0104/G0402/G0505 — 10k+ external users onboarding, no UX research scoped) caps conversational flow design quality without pilot feedback. Governance gap (G9901/G1001/G1003 — multi-team ownership RACI, data stewardship, Agentforce prompt governance) remains human-negotiation-heavy [6]."
