Gap ID,Category,Gap/Question,Impact/Notes
G0101,Source Conflict,"O fit/gap (25/06/2026, org viva) registra Person Accounts como DESABILITADO, mas o build do Pilar 1 em QA já faz 'Conversão Lead → Person Account (OTP)' e a epica exige Person Account para tomadores PF. Person Accounts foi habilitado após 25/06, e em quais orgs (hml + prod)?","Habilitar Person Account é IRREVERSÍVEL e org-wide. Se ainda não estiver em produção, é pré-requisito não reversível a sequenciar e aprovar antes de qualquer migração de dados de Captação. Se já habilitado, a baseline do fit/gap está defasada e outros vereditos 'não adotado' precisam re-verificação. Conflito de maior prioridade — confirmar estado vivo em prod antes de fechar o plano de E01."
G0102,Source Conflict,"A epica mapeia Lead → LoanApplicant, mas o build em QA converte Lead → Person Account, e o fit/gap mostra o modelo de lending FSC (ResidentialLoanApplication, LoanApplicant) com 0 registros / não adotado. O alvo do tomador é LoanApplicant (lending nativo), Person Account, ou ambos — e reapontar a Captação já em QA a um novo modelo de objeto constitui retrabalho de histórias entregues?","Contradiz a premissa 'Pilar já em QA / reaproveitado' na qual a timeline se apoia. Adotar o modelo de lending nativo é 3–5 sprints / alto risco no fit/gap — ordem de magnitude acima de re-rotular. Se E01 é troca de modelo in-place sob comportamento já em QA, o sizing 'pequeno/reaproveitado' do Pilar 1 é inseguro."
G0103,Missing Requirement,"O mapeamento campo-a-campo de Lead (56 campos custom) e Contact para os objetos-alvo FSC (Person Account / LoanApplicant + filhos Income/Employment/Liability/Asset) não está definido. Onde cada campo custom da Captação aterrissa, e quais não têm home nativo em FSC?",Migração in-place não pode ser dimensionada nem construída sem o field map. Campos não mapeados viram extensões custom em objetos FSC (recriando a divergência que a migração quer remover) ou perda de dado. É o trabalho concreto por trás de 'migrar Lead → LoanApplicant' e hoje é um branco.
G0104,Missing Requirement,"Simulacao__c (381 registros) e Parcela__c (14.356) estão marcados DESATIVAR, superados por OpportunityLineItem + payload de evento. O histórico de simulação/parcelas é migrado para o novo modelo OLI, arquivado, ou abandonado no cutover?","14k+ linhas de Parcela__c e 381 simulações são histórico de produção. Migrar vs. abandonar é decisão de estratégia de dados com implicação regulatória/auditoria para um portal de crédito, e o volume dirige esforço de migração não previsto num Pilar 1 'pequeno'."
G0105,Logical Gap,"O simulador roda em contexto guest (sem login, sem conta), mas o modelo-alvo de simulação é OpportunityLineItem, que exige Opportunity-pai atrelada a uma Account. Como a simulação anônima persiste e depois se liga ao Person Account criado na conversão?","OLI não existe sem pai Opportunity/Account, então o modelo do simulador guest não mapeia 1:1 ao alvo pós-migração. Ou a simulação guest fica stateless (payload só ao Sinqia, nada persistido) ou é preciso um padrão de registro-sombra — bifurcação de design não resolvida dentro de um pilar tido como completo."
G0106,Ambiguity,"A epica lista cadastro manual (F02) e hierarquia de cooperativas (F05) como em escopo, mas o escopo de MVP/Cenário 2 adia 'cadastro manual sem-JUCESP (produtor rural PF)' e 'cooperativas Agro (hierarquia de contas)' para a Fase 2, e o modelo Agro/cooperativa (portal unificado vs. dois, hierarquia) segue decisão aberta. F02 e F05 estão dentro de E01 ou adiados?","F02/F05 são as duas features de Captação com requisitos mais instáveis (PF Agro fora da JUCESP, hierarquia de contas cooperativa, tipo de usuário/permissões distintos). Se em E01, a epica carrega design net-new — não migração — e o sizing precisa refletir; se adiados, o escopo declarado está superestimado."
G0107,Potential Risk,"Pilar 1 tem 17 histórias + 12 de integração já em QA sobre o modelo pré-migração. Uma troca in-place do modelo de objeto (Lead/Simulacao__c → Person Account/LoanApplicant/OLI) invalida esse QA. Há passe de regressão completo sobre as 29 histórias testadas previsto, e existe suíte automatizada para cobri-lo?",O fit/gap aloca ~1 sprint + contínuo para regressão e alerta que o simulador vivo 'deve continuar funcionando até o cutover'. 'Já em QA' só é ganho se a migração preserva comportamento; troca de modelo força re-verificação de cada história entregue — esforço que a premissa 'Captação reaproveitada' esconde.
G0108,Potential Risk,"API-07 (enriquecimento JUCESP) e API-21 (sensibilização Sinqia) são descritas como MuleSoft 'só reapontadas'. Se o alvo de escrita muda de Lead para LoanApplicant/Person Account, o mapeamento de enriquecimento e o payload mudam — é reaponte real ou re-mapa? Há plano de cutover, dono de data-steward e dono de mudança/adoção nomeados para migrar um portal de crédito vivo in-place?","Reapontar para objeto estruturalmente diferente é re-mapa, não reaponte, e pode quebrar a premissa 'integrações só reapontadas' em E01. A migração in-place de um portal de produção também implica governança (data stewardship do movimento Lead→FSC, runbook de cutover/rollback, gestão de mudança dos analistas) não visível no escopo de build — levantar como pergunta de readiness ao comprador, não auto-escopar."
G0201,Source Conflict,"A epica trata CreditApplication__c → ResidentialLoanApplication como alvo fechado, mas o fit/gap marca CreditApplication__c (68 registros vivos) como REVISAR — candidato, não decisão — e classifica adotar o modelo de lending nativo como 'Alto' / 3-5 sprints / 'maior incerteza', último na sequência recomendada. A migração para RLA está de fato em escopo de E02, ou E02 mantém CreditApplication__c e só reaponta integrações?","É o pivô da epica inteira. Se RLA entra, E02 é migração de modelo de dados (3-5 sprints no ROM), não reaponte — muda o sizing do Pilar 2 materialmente. Se sai, o escopo declarado está superestimado. Resolver na Fase 0 antes do build."
G0202,Source Conflict,"Premissa do projeto é 'integrações MuleSoft só REAPONTADAS'. Mas mover o alvo de escrita da origination de CreditApplication__c/Lead para ResidentialLoanApplication + LoanApplicant/Income/Employment muda o modelo de objeto que as 11 integrações do P2 escrevem — isso é re-mapa de payload/campos, não reaponte de endpoint. Das 11 (API-01/02/05/06/08/16/17/20/21/27/28), quais realmente só reapontam vs. precisam de re-transformação para os novos objetos FSC?",A premissa 'só reaponte' pode não valer para as integrações que tocam o objeto de aplicação. Cada integração que aterrissa em RLA em vez de CreditApplication__c precisa do mapa MuleSoft e do Apex/Flow receptor refeitos. Risco de sub-escopo no maior pilar (11 integrações).
