Gap ID,Category,Gap/Question,Impact/Notes
G0101,Source Conflict,"Service Cloud está confirmado FORA do MVP (sem caso de uso de atendimento geral), mas o modelo de dados do BSA v2 para o canal WhatsApp depende de MessagingEndUser, MessagingSession e Case — objetos nativos de Service Cloud/Digital Engagement, não de Field Service. Não há decisão registrada sobre se essa camada de mensageria pode existir sem licença de Service Cloud.","Bloqueia o dimensionamento de licenciamento (já listado como bloqueador na discovery) e a própria viabilidade técnica do canal WhatsApp do MVP. Precisa de confirmação explícita da AE/Salesforce sobre requisito de licença de Digital Engagement/Service Cloud independente do caso de uso de atendimento geral, antes do design técnico do canal."
G0102,Source Conflict,"""WhatsApp voz"" está confirmado em escopo do MVP (aba Canal de entrada: ""WhatsApp e WhatsApp voz são escopo desta fase""), mas a documentação de produto mostra que provisionar um canal de voz do WhatsApp exige a edição ""Salesforce Voice (Native Telephony)"" [KB: agentforce_contact_center_4-30-2026.md:569-588] — exatamente o produto de CTI/voz que a decisions/0001 e a instrução direta do cliente empurraram para uma fase dedicada de Roadmap, fora do MVP.","Se ""WhatsApp voz"" do MVP depender de Salesforce Voice, o MVP já carrega parte do escopo de voz que a ADR 0001 diz estar fora dele — contradição real entre dois documentos do próprio cliente. Precisa esclarecer com Renata Vendramini/DER se ""WhatsApp voz"" nesta fase é apenas recepção de áudio dentro do canal de mensageria (sem Salesforce Voice) ou o canal de voz nativo completo."
G0103,Missing Requirement,"Não há console definido para o papel ""Atendente humano"" (distinto do C2C) receber o transbordo do Agentforce quando há vítima ou pedido explícito do cidadão. O documento nomeia o papel e sua responsabilidade, mas não a ferramenta/tela em que ele opera.","Sem console definido, não é possível especificar o requisito de UI, permissões, ou tempo de resposta do transbordo. Risco de o atendente humano não ter visibilidade da MessagingSession herdada do Agentforce no momento em que mais importa (caso com vítima)."
G0104,Logical Gap,"O campo `Has_Victims__c` na MessagingSession decide o transbordo obrigatório, mas não há regra de negócio documentada sobre como ele é preenchido: classificação automática do Agentforce via NLP na conversa, campo declarado pelo cidadão em um menu/pergunta fechada, ou confirmação humana posterior?","Sem essa regra, o build não sabe se `Has_Victims__c` é um output de IA (sujeito a erro de classificação) ou um input estruturado — afeta diretamente o desenho do fluxo Agentforce e o nível de confiança do transbordo obrigatório."
G0105,Ambiguity,"O critério de ""ocorrência com vítimas"" que aciona o transbordo obrigatório não está definido (ferimento leve vs. grave, óbito, múltiplos veículos, vítima presa nas ferragens). O documento trata ""vítimas"" como categoria binária.","Sem critério objetivo, a confiabilidade da classificação automática de risco (pane vs. sinistro vs. sinistro com vítimas) não pode ser testada nem auditada — agrava o risco já citado pelo próprio cliente (""Qualidade do Agente Conversacional"")."
G0106,Logical Gap,"O transbordo para atendente humano é ""obrigatório"" em casos com vítimas, mas não há SLA nem fallback definido para quando não há atendente humano disponível no momento (fila saturada) — especialmente relevante porque o mesmo papel ""Atendente humano"" cobre tanto a voz do 0800 quanto o transbordo do WhatsApp.","Em pico de demanda (ex.: acidente múltiplo), o cidadão com vítima pode ficar em espera sem atendimento humano imediato, contradizendo a regra de negócio confirmada (""a triagem de IA nunca conclui o socorro à vítima""). Precisa de dimensionamento de capacidade e regra de escalonamento/backup."
G0107,Missing Requirement,"Está confirmado que o WhatsApp da Carta de Serviços (11) 3325-8002, hoje da ouvidoria, NÃO pode ser reaproveitado para o socorro — mas não há requisito documentado do processo de provisionamento do novo número dedicado: registro no Meta Business API/WhatsApp Business Platform, prazo de homologação do Meta, e quem no DER/PRODESP é o dono desse processo.",Homologação de número novo no WhatsApp Business Platform tem prazo e aprovação do Meta fora do controle da Salesforce/PRODESP — risco direto ao cronograma de homologação (jan/fev 2027) se não for iniciado com antecedência.
G0108,Logical Gap,"Se o atendente humano assume a MessagingSession transbordada, mas o console de atendimento (tipicamente Service Cloud Console/Omni-Channel) não está confirmado nem licenciado (ver G0101 e G0103), não há tela onde essa sessão pode ser efetivamente recebida e trabalhada.","Gap em cascata: resolver G0101 (licenciamento Service Cloud) é pré-requisito para resolver G0103 (console do atendente humano). Enquanto não resolvido, o requisito de ""transbordo obrigatório"" não é implementável de ponta a ponta."
G0109,Missing Requirement,"Não há mensagem/fluxo de consentimento LGPD específico para o canal WhatsApp cobrindo o compartilhamento de geolocalização e, em casos de sinistro, dados de vítima — antes ou durante a triagem automatizada do Agentforce.","A discovery já registra o gap geral de LGPD/DPIA (nenhum responsável por dados pessoais identificado), mas este é o ponto de captura de dado sensível mais provável do MVP (WhatsApp = canal de maior volume esperado). Sem esse desenho, o canal pode entrar em produção sem base legal clara para o dado que ele mais coleta."
G0110,Missing Requirement,"Não existe artefato formal de design de conversa para o Agentforce no WhatsApp (roteiro de prompts, tom, tratamento de usuário em situação de pânico/emergência na pista, acessibilidade para baixa literacia digital ou conexão instável). Quem no DER é o responsável por esse desenho de experiência antes do build começar?",A própria discovery já sinaliza (área 15 do Extraction Audit) ausência de pesquisa de UX formal. Um roteiro de triagem mal desenhado em um canal de socorro emergencial tem risco direto de má classificação e de o cidadão abandonar a conversa no momento de maior vulnerabilidade.
