Epic ID,Epic Name,Description,Confidence,Depends On
E01,Portal & Identidade gov.br,"Fundação Experience Cloud do marketplace: login gov.br (OpenID Connect), procuração digital, fluxo 'representar empresa', navegação e controle de acesso do portal da BENEFICIÁRIA (e do estabelecimento). Base de identidade e experiência sobre a qual os processos de negócio (E02/E03/E04) são renderizados. Licenciamento (corrigido no grill 31/jul): o driver de licença de portal é a BENEFICIÁRIA — que opera Opportunity (demanda) e Quote (comparação/seleção) no portal. A FACILITADORA é API-only (E05), NÃO consome licença de portal — as ~600–700 facilitadoras são integrações MuleSoft, não assentos. A versão da licença da beneficiária (Partner Community vs. Customer Community Plus) segue a requalificar (G0103/G0108): Customer Community Plus não expõe Opportunity/Quote nativamente; se a beneficiária precisar operá-los no portal, Partner Community é a candidata, a confirmar.",Assumed,E05; E08
E02,Marketplace de Cotação e Contratação,"Motor do 'leilão' reverso sobre SALES CLOUD com objetos NATIVOS (ADR 0004): a beneficiária cadastra a demanda como OPPORTUNITY nativa (nº funcionários, valor, vigência, distribuição por UF, recursos obrigatórios); N facilitadoras respondem com QUOTES nativas (prazo/SLA) EXCLUSIVAMENTE via API — a facilitadora NÃO tem acesso à plataforma (sem UI, sem licença de portal); submete a proposta informando o ID da cotação/oportunidade aberta dentro da vigência (G0210, confirmado grill 31/jul). COMO A FACILITADORA DESCOBRE UMA DEMANDA (decisão 31/jul): na Fase 1 a plataforma ENTREGA UM ENDPOINT DE CONSULTA (pull via API/MuleSoft, E05) das demandas abertas na vigência — a facilitadora CONSULTA, NÃO recebe push ativo; a NOTIFICAÇÃO ATIVA (push) fica no roadmap futuro, com o CANAL A DEFINIR — a escolha do canal é o que condiciona posicionar ou não Marketing Cloud (G0209/G0211). EQUIDADE POR CONSTRUÇÃO: como a facilitadora não tem UI, ela não enxerga as propostas concorrentes — não é necessário Apex managed sharing para ocultá-las. A beneficiária VÊ as cotações conforme chegam (comparação lado a lado, LWC), mas só PODE SELECIONAR quando a janela de vigência fecha — seleção manual TRAVADA até o fechamento, não seleção cega (confirmado grill 31/jul). Camada custom fina: tela Comparar Propostas + trava de seleção até o fechamento + máquina de estados da janela → contrato firmado. CONTRATO SEM CLM na Fase 1 (transcrição 31/jul): a facilitadora faz upload do PDF imutável do contrato + metadados + versões (aditivos/renovações como upload de nova versão); NÃO há ferramenta de contract lifecycle management nem validação automática de contrato nesta versão (roadmap futuro). PASSO NOVO — TERMO DE ACEITE (transcrição 31/jul, Fase 1-required): após o contrato firmado, a beneficiária dá o termo de aceite classificando nº de trabalhadores acima/abaixo de 5 salários mínimos por CNPJ e a distribuição matriz/filial — informação integrada ao Novo PAT via INIS PJ (E05). Matriz/filial: ao aderir, todas as filiais entram. BENEFICIÁRIAS PAT E NÃO-PAT (transcrição 31/jul): ambas contratam pelo marketplace, com regras de cálculo distintas (PAT sob teto 3,6%; não-PAT sem benefício fiscal → taxa diferente); contratos legados devem ser carregados. Camada custom reservada ao que o nativo não entrega (equidade, tela Comparar Propostas, seleção→contrato). Data Cloud para enriquecer histórico de facilitadoras — Assumed, candidato a de-escopo/buffer sob a janela fixa de 15/nov.",Assumed,E01; E05
E03,Folha & Financeiro,"Ciclo folha→pagamento→split sob a regra de repasse em até 15 dias (Decreto 12.712/2025). FLUXO (premissa 31/jul): (1) a beneficiária faz UPLOAD do CSV de folha da competência via PORTAL ou API; (2) a plataforma VALIDA o layout do arquivo e a integridade ('não quebrado') — avaliar a melhor alternativa Salesforce para as críticas (Einstein / agente / outro); (3) SEM crítica, habilita o arquivo para DOWNLOAD da facilitadora — as LINHAS DA FOLHA NÃO SÃO CARREGADAS em objeto da plataforma (necessidade futura de roadmap, não agora); (4) a facilitadora baixa a folha associada ao contrato do beneficiário na vigência mês/ano específica e DEVOLVE via API o status 'processado' + o valor a pagar; (5) a plataforma envia o valor ao GATEWAY (que intermedia a conta custódia) e recebe de volta o BOLETO REGISTRADO + metadados/link; (6) o boleto é disponibilizado à beneficiária no portal para download e pagamento; (7) a plataforma recebe do gateway as MOVIMENTAÇÕES BANCÁRIAS de forma BATCH INCREMENTAL via AGENDAMENTO no MuleSoft (E05) para identificar o pagamento e avançar status; (8) identificado o pagamento, o sistema consulta as REGRAS DE CÁLCULO DE SPLIT, calcula o repasse à facilitadora e demais empresas, e REGISTRA todo o racional (datas, split, ordens/boletagens de transferência), entregando via MuleSoft ao gateway. FRONTEIRA (ADR 0003): o Salesforce é o MOTOR DE REGRAS DE SPLIT (calcula, aplica, emite boletagem, orquestra, concilia por casamento, registra racional); o GATEWAY é o ÚNICO responsável pela EXECUÇÃO das transações bancárias e pela custódia — FORA do escopo Salesforce. UI simplificada: status consolidado 'crédito concedido' (uma linha, não lista por trabalhador); marca é o gatilho de notificação à empresa e via CTPS Digital ('expectativa de crédito', só monitoramento na Fase 1). Objetos custom para folha (cabeçalho/competência, sem linhas), contrato e regras de split; Revenue Cloud fora desta rodada. Lógica financeira real → XL.",Assumed,E01; E05; E08
E04,Credenciamento de Estabelecimentos,"Cadastro unificado de estabelecimentos via gov.br PJ; facilitadoras mantêm o papel legal de aprovar e descredenciar. Duas faces (protótipos): a do estabelecimento que cadastra e sobe documentos, e a do Analista MTE que analisa documento a documento (Válido/Inválido + motivo), emite parecer (Deferido/Exigência complementar/Indeferido) e opera a trilha de auditoria. Fluxo automatizado de validação com TRANSBORDO humano para exceções. VIGILÂNCIA SANITÁRIA (transcrição 31/jul): 5000+ padrões municipais de licença, SEM base unificada — a data de validade é o parâmetro mínimo comum; IA pode extrair alguns campos. Inclui FLUXO DE RENOVAÇÃO e ALERTAS de expiração de documentos/licenças (rastreio de vencimento). Distinção de domínio: a ADQUIRENTE (Cielo, Rede, Getnet) consulta a base de estabelecimentos (via API, E05) antes de processar transações e envia todas as transações para monitoramento; a FACILITADORA é responsável pela custódia. Driver de negócio (Decreto 12.712/2025): o modelo antigo obrigava o estabelecimento a credenciar-se facilitadora a facilitadora (um contrato por operadora, MDR alto/variável, repasse caso a caso). A reforma inverte a economia — teto de MDR de 3,6%, repasse em até 15 dias, fim do rebate e interoperabilidade (um credenciamento/terminal aceita todas as bandeiras; mai/2026 grandes, nov/2026 total) — tornando o cadastro unificado a via de menor custo e menor fricção. É esse value driver que sustenta a adesão do estabelecimento.",Confirmed,E01; E05
E05,Integração Corporativa (MuleSoft),"Camada de integração API-led MuleSoft ON-PREMISE (ADR 0005 — instalado na infra Dataprev/gov, dentro do perímetro soberano; resolve G0504; ponto de de-tokenização do CPF). Conecta Novo PAT (que HOJE NÃO TEM API — transcrição 31/jul, MT/DTI: mock-first obrigatório), GOV.BR/Geride, CTPS Digital ('expectativa de crédito' ao trabalhador no processamento da folha — só monitoramento na Fase 1), eSocial, SDC, INIS PJ/Kinis PJ (origem do termo de aceite — nº trabalhadores por faixa salarial e matriz/filial, E02), o gateway/banco custódia (recebe a boletagem com split e o valor a pagar; devolve o boleto registrado e as MOVIMENTAÇÕES BANCÁRIAS em BATCH INCREMENTAL via AGENDAMENTO no MuleSoft — ADR 0003) e as APIs das ~600-700 facilitadoras (recepção de Quotes/propostas e devolução de processado+valor, MAIS a EXPOSIÇÃO DE UM ENDPOINT DE CONSULTA das demandas/leilões abertos na vigência — pull na Fase 1: a facilitadora consulta e descobre as demandas publicadas pelas beneficiárias, sem push ativo; a notificação ativa/push é roadmap futuro, com o canal a definir — E02/G0211, decisão 31/jul). ADQUIRENTE (transcrição 31/jul): API para a adquirente CONSULTAR o status de credenciamento do estabelecimento antes de processar transações; a adquirente envia TODAS as transações para monitoramento/analytics interno (antifraude/desvio) — feed de monitoramento é near-term para a consulta e V2/futuro para o analytics completo. Validação de estabelecimento por CNPJ: client credentials flow, connected app com escopo restrito, validação de token com rate limit e cache. Mock-first para desbloquear o desenvolvimento enquanto Swaggers/contratos não são disponibilizados.",Confirmed,
E06,Atendimento Inteligente (Agentforce),"Agente informacional e transacional (WhatsApp/webchat) para atender participantes em escala (beneficiárias, facilitadoras, estabelecimentos). Canais e casos de uso (informacional vs. transacional) e integração com o marketplace a confirmar com o cliente. [FORA DO ESCOPO DO Fase 1 — deferida para Onda 2 pós-go-live (roadmap Etapa 5), retida como buffer de cronograma da janela fixa de 15/nov/2026.]",Assumed,E05; E08
E07,Migração & Carga Inicial de Cadastros,"Carga inicial de cadastros de beneficiárias, facilitadoras e estabelecimentos a partir do Novo PAT / bases MTE. Novo PAT permanece system-of-record (sem migração massiva); foco em qualidade, deduplicação e referências não-sensíveis (ADR 0001).",Assumed,E05
E08,"Segurança, Residência de Dados & Conformidade","Três eixos de isolamento que coexistem. (1) RESIDÊNCIA (ADR 0001): modelo de dados com referências tokenizadas — CPF e dados sensíveis não persistem na nuvem Salesforce, resolvidos em runtime via API. (2) TOPOLOGIA (ADR 0002): instância Salesforce dedicada e apartada para o MTE/PAT, isolada das demais orgs de clientes da Dataprev — isolamento forçado (não opção) por segurança/sensibilidade financeira (conta custódia, split), volumetria (~800k estabelecimentos, ~450k beneficiárias), auditabilidade (TCU/CGU/ANPD) e administração pelo próprio MTE. (3) SOBERANIA/GREENFIELD (ADR 0005): ambiente 100% greenfield — nenhuma org/admin compartilhada com outros ambientes Dataprev — e MuleSoft ON-PREMISE na infra soberana, de modo que o dado sensível não sai do perímetro e nenhum administrador de outro ambiente o enxerga; o MuleSoft on-premise cumpre as exigências de soberania de dados. Segurança/auditoria são requisito explícito escrito na proposta com justificativa: observabilidade, trilha de auditoria imutável do acesso a dado sensível, mascaramento de CPF nos logs. Diagrama de fluxo de dados sob LGPD (Art. 11). Requisito transversal a todas as épicas.",Confirmed,
E09,Gestão de Mudança & Adoção,"Change management e plano de adoção para o alcance do programa (600-700 facilitadoras + centenas de milhares de beneficiárias): comunicação, capacitação, materiais de apoio e acompanhamento de adoção. Entrega Salesforce PS. Escopo detalhado e fronteira com a Dataprev a confirmar.",Assumed,
E10,Painéis Analíticos (Tableau),"FRENTE NOVA (incremento de escopo 04/ago), PARALELA e FORA DO CAMINHO CRÍTICO do go-live regulatório de 15/nov — inicia em S10, sem exigência de concluir junto com a Fase 1. Até 3 painéis sobre a INSTALAÇÃO TABLEAU EXISTENTE do cliente (Tableau Server/Cloud já provisionado — sem aprovisionamento de infra): (1) VISÃO NEGÓCIO — indicadores de adesão, volume de leilões/cotações, contratos firmados, MDR médio, valores repassados; (2) VISÃO PROJETO — saúde da entrega, marcos, backlog, incidentes; (3) VISÃO MTE — indicadores institucionais/regulatórios para o órgão. Até 12 componentes no total entre gráficos e tabelas, distribuídos entre os 3 painéis. FONTE DE DADOS: ~80% objetos NATIVOS do Salesforce PAT já construídos (Opportunity/Quote do marketplace E02, folha-cabeçalho/split/conciliação E03, credenciamento E04) via Salesforce connector (live/extract); no máximo 1 blend leve (extract do Novo PAT para volumetria histórica) — sem modelagem/ETL pesada. SEGURANÇA POR AUDIÊNCIA: 1 modelo de dados + row-level security por perfil (user filters), 3 layouts de painel — não 3 modelos isolados. Entrega Salesforce PS pelo ESFORÇO REAL (frente delimitada), não só T-shirt.",Assumed,E02; E03; E04
