Gap ID,Category,Gap/Question,Impact/Notes
G0101,Missing Requirement,"SSO setup: When is SSO necessary? No SSO provider specified (Okta, Azure AD, Google, SAML 2.0). Discovery mentions 'SSO setup (se necessário)' but lacks decision criteria and provider details.","Blocks go-live if SSO is required. Add 2-4 weeks if not pre-scoped. Requires client approval for identity provider, SAML configuration, and user provisioning method."
G0102,Missing Requirement,"Custom domain: No domain name specified for the new ORG. Discovery mentions 'domínio personalizado' but does not provide the FQDN (e.g., sefin.dataprev.my.salesforce.com or custom).","Blocks WhatsApp Channel approval with Meta if domain is not finalized. Domain must be registered, DNS configured, and SSL certificate issued before WhatsApp Business API approval."
G0103,Missing Requirement,"Meta WhatsApp Business approval timeline: No timeline provided for Meta approval process. Discovery mentions 'aprovação Meta WhatsApp Business' but does not specify whether SEFIN-CE or DATAPREV already has a WhatsApp Business Account, is approved by Meta, or needs to apply from scratch.","Meta approval can take 2-8 weeks depending on business verification status. If SEFIN-CE is a new applicant, add significant lead time. This is a critical path blocker for go-live."
G0104,Ambiguity,"Data residency compliance: Discovery states 'data residency Brasil (LGPD)' but does not specify which Salesforce instance region is contractually approved by DATAPREV. Is it Hyperforce Brazil (São Paulo), US-East with LGPD controls, or another?",LGPD Art. 11 applies (CPF/CNPJ are sensitive). Wrong region choice = regulatory breach + re-provisioning delay. Must confirm DATAPREV's approved Salesforce geography before ORG provisioning.
G0105,Missing Requirement,WhatsApp Channel licensing: Discovery specifies 'WhatsApp Channel (sem Digital Engagement)' but does not confirm which Salesforce SKU is in scope. Service Cloud includes Messaging for Web and standard channels; WhatsApp typically requires Digital Engagement Add-On or Service Cloud with Messaging add-on. Clarify licensing model.,"If Digital Engagement is truly excluded, WhatsApp may not be natively supported in Service Cloud AS-IS. May require third-party connector (Twilio, 360Dialog) or licensing gap. Blocks setup until resolved."
G0106,Potential Risk,"Einstein Bot vs. Agentforce licensing: Discovery context v1 mentions 'Einstein Bot' (P-18, Service Cloud AS-IS), but context v2 mentions 'Agentforce' (Epic E01 narrative). Einstein Bot is legacy; Agentforce is the new bot platform. Which is the licensed product?",Einstein Bot may be sunset or feature-limited. Agentforce requires separate SKU. Mismatch = rework or licensing gap. Confirm exact bot platform before ORG setup.
G0107,Missing Requirement,"ORG provisioning approval: Who approves the new ORG creation within DATAPREV? Discovery mentions 'CTID DATAPREV' and 'ANPD se dados sensíveis' but does not specify the approval workflow, timeline, or required documentation.","CTID approval may require security assessment, data classification memo, or LGPD DPO sign-off. If not pre-approved, add 1-3 weeks to critical path."
G0108,Missing Requirement,"User profiles and permissions: Discovery specifies '10 usuários (3 SysAdmin + 7 Bot Maintainer)' but does not define 'Bot Maintainer' profile scope. What permissions beyond Einstein Bot/Agentforce maintenance? (e.g., Flow Builder, Apex debug, API access, report builder?)",Under-scoped profile = post-go-live permission requests and rework. Over-scoped = LGPD/security audit findings. Must define profile permissions matrix before ORG setup.
G0109,Missing Requirement,"Sandbox strategy: No sandbox strategy specified. How many sandboxes (Developer, Developer Pro, Partial Copy, Full Sandbox)? Discovery is silent on UAT, training, and hotfix environments.",No sandbox = no safe testing environment = production bugs. Must define sandbox tier and refresh cadence before ORG provisioning.
G0110,Missing Requirement,IP whitelisting for API integrations: Discovery mentions 'Cliente possui conectividade IP entre Service Cloud e APIs SEFIN' (P-17) but does not specify IP whitelisting requirements. Will SEFIN-CE APIs require Salesforce IP ranges to be whitelisted?,"If SEFIN-CE firewall requires IP whitelisting and DATAPREV has not pre-approved Salesforce IP ranges, integration testing is blocked. Must confirm IP whitelisting requirements and approval process."
