Epic ID,Epic Name,Description,Confidence,Depends On
E01,Pilar 1 — Captação,"Migração da esteira de captação (enriquecimento JUCESP, cadastro manual, simulador, Minhas Contas, cooperativas) para objetos FSC: Lead→LoanApplicant, Person Account para tomadores PF e simulação apoiada em OpportunityLineItem. F01–F05 · 2 integrações (API-07/18) · 9 componentes (CMP-01–09). Pilar já em QA no build atual — menor risco de retrabalho funcional.",Confirmed,
E02,Pilar 2 — Pré-qualificação,"Migração do formulário adaptativo, validação facial (BioValid), QRSA, integração Serpro e-CAC e envio síncrono ao core. Alvo FSC: CreditApplication__c→ResidentialLoanApplication. F06–F10 · 11 integrações · 6 componentes (CMP-10–15). Pilar Grande na análise de esforço.",Confirmed,
E03,Pilar 3 — Proposta,Migração da lista de solicitações e detalhamento de status para leitura sobre objetos FSC. F11–F12 · 4 integrações (API-22/23/24/25 — QRSA) · componentes reaproveitados da Home (CMP-30 acompanhamento). Pilar Médio.,Confirmed,
E04,Pilar 4 — Estruturação,"Migração das fichas cadastrais PJ/PF, geração de PDF, bloqueio de edição, upload assíncrono, orquestração de status e Central de Pendências. Alvo FSC: Garantia__c→LoanApplicantAsset, dados de tomador→LoanApplicant/Income/Employment. F14–F20 · 8 integrações · 14 componentes (CMP-16–29). Maior pilar (Grande) — maior superfície de migração.",Confirmed,
E05,Pilar 5 — Aprovação,"Migração do aceite/recusa síncrono e orquestração de ocorrências, com efetivação síncrona no core via Platform Event (OpportunityInfo). F13, F21 · 1 integração (API-09) · 1 tela de decisão. Reanálise elevou de Médio para Grande ao absorver F13.",Confirmed,
E06,Pilar 6 — Formalização,"Migração de download da CCB, upload da CCB assinada (assinatura digital) e Meus Contratos para objetos FSC. F22–F24 · 4 integrações (API-03/04/29/30) · 3 componentes (CMP-31–33). Pilar Médio.",Confirmed,
E07,Habilitação FSC & Modelo de Dados,"Habilitar Person Accounts (hoje DESABILITADO, irreversível) e adotar o modelo de lending nativo do FSC (ResidentialLoanApplication, LoanApplicant, LoanApplicantIncome/Employment/Liability/Asset — hoje 0 registros), além de ARC/Action Plans a nível de configuração. Fundação transversal aos 6 pilares.",Confirmed,
E08,Catálogo & Elegibilidade Nativos,Adotar recursos nativos FSC substituindo customizações: Product2+EnquadramentoProduto__c→Product Catalog Management (PCM); Enquadramento__c→DecisionTable/Business Rules Engine (BRE); Instituicao__c→Account (Record Type). Frentes de maior esforço no fit/gap (Produto→PCM Alto; Modelo de crédito nativo Alto).,Confirmed,
E09,Reapontamento de Integrações (30 APIs),"Reapontar as 30 integrações MuleSoft para os objetos FSC — apenas lado Salesforce: named credentials, mapeamento de campos para objetos FSC, refactor de callouts Apex e regressão por integração. As APIs no barramento NÃO são reconstruídas (premissa; se contratos das System APIs mudarem, transformação MuleSoft vira escopo adicional).",Confirmed,
E10,Migração de Dados & Descomissionamento,"ETL e conversão: Account/Contact→Person Accounts, CreditApplication__c(68)→ResidentialLoanApplication, Garantia__c→collateral; desativar Simulacao__c(381) e Parcela__c(14.356) superados por OpportunityLineItem+evento; manter Metrica__c(262) e AntiFraudAnalysis__c(90); reconciliação. Volume de produção a confirmar.",Assumed,
E11,"Testes, Regressão & Cutover","SIT/UAT, regressão in-place ampla (maior risco da migração), governança de pipeline/metadados para a nova configuração declarativa (PCM/BRE/DecisionTable), e cutover em produção (habilitação Person Accounts + run de migração) seguido de hypercare. Ensaio full-copy obrigatório antes do cutover irreversível.",Confirmed,
