Epic ID,Epic Name,Description,Confidence,Depends On
E01,Foundation & Enablement,"Camada fundacional de atendimento: AI Trust Layer para agentes (grounding, masking, toxidade, auditoria), modelo Data 360 de atendimento + federação de dados mínimos-residentes de 7 famílias TMF, resolução de identidade federada, runtime de orquestração determinística (base dos fluxos guiados), modelo de segurança/sharing Passive-Core, standup Service Cloud Voice + Amazon Connect e canais Digital Engagement, ambiente/pipeline DevOps e observabilidade.",Confirmed,
E02,Operational Support,"Habilitação operacional do atendimento: árvore de classificação (palitagem) como metadados hierárquicos + mapeamento eTOM, captura de disposição obrigatória no wrap-up, Entitlement Process + Milestones (SLA) por tier, workflow de autoria de Knowledge + taxonomia, biblioteca de templates de mensagem (WhatsApp aprovados) e dashboards operacionais (AHT/ASA/abandono, compliance de SLA, performance do agente).",Confirmed,
E03,Customer Interaction Management,"Gestão da interação de cliente: captura e registro de interação (EngagementInteraction) em qualquer canal, busca e unificação de identidade (Data 360/legado), verificação de identidade/KYC com badge de autorização, identificação do tipo de requisição e roteamento, gestão de consulta geral (caso/Knowledge/resposta), disparo de pesquisa de satisfação e atualização de dados cadastrais.",Confirmed,
E04,Customer Problem Management,"Tratamento de problema de cliente ancorado no motor de entrevista determinística (contestação de fatura guiada nativa de 300+ passos, grava ajuste transacional, reusado por 6 famílias): ciclo de vida de Case, triagem técnica remota e agendamento/despacho de visita, rescisão/cancelamento + contexto de churn, fraude, jurídico/legal-hold, escalação Ouvidoria/Anatel, migrações mandatórias reguladas (cobre→fibra fim STFC, DTH→IPTV) e contestações por família (Fibra, TV, Convergente, VAS, Pré-pago).",Assumed,
E05,Customer Relationship / V360,"Relacionamento e visão 360 do cliente: cockpit Customer 360 unificado (LWC, elimina o Alt+Tab) com painéis de perfil/segmento/NPS, financeiro/billing, product-inventory/assets, pedidos abertos e timeline de interações; next-best-action contextual, Service Contract/tier de entitlement, consentimento LGPD + data-subject-request, troca de titularidade com validação de documento e sinal de churn explicável.",Confirmed,
E06,Product Order Capture,"Captura de pedido (não a gestão): motor de captura agêntico eligibility→serviceability→resource reservation→configuration→submission, decomposto por família × operação (ativação Móvel/Fibra/TV/Convergente/Pré-pago/VAS, mudança de plano, atributos, move, change ownership, troca de aparelho, desconexão). A gestão/orquestração/fulfillment do pedido é delegada ao Pillar 2 via MCP; catálogo e precificação são consumidos como ferramentas MCP, não autorados.",Assumed,
E07,Order Processing Envelope,"Envelope de atendimento do pedido: identificar asset/subscription ativo, submeter o pedido capturado (PROCP) à gestão via MCP e reconciliar o handoff, acompanhar status e notificar/fechar; mais as jornadas reguladas guiadas — portabilidade numérica (motor de entrevista + handoff ao clearinghouse), negociação de dívida guiada (simulação de parcelas, grava acordo) e logística reversa de comodato na rescisão.",Assumed,
E08,Omnichannel Routing,"Roteamento omnichannel e telefonia: Omni-Channel por prioridade/skill/capacidade, fluxo de voz de entrada + softphone/CTI via Service Cloud Voice/Amazon Connect (transferência quente/fria, transcrição ao vivo), deflexão IVR/URA com fallback, roteamento Digital Engagement (WhatsApp/chat/email) com sessões async concorrentes, supervisor barge-in/listen/whisper, outbound proativo/callback e a superfície de atendimento Parceiro/Aliado em Experience Cloud (~18k usuários).",Confirmed,
E09,Agentforce / Service Dynamic Plan,"Camada agêntica de atendimento: catálogo de ações invocáveis (Agentforce Actions/MCP), montagem de service dynamic plan da intenção, superfície agentic/conversacional (LWC + Agentforce), copiloto de IA que sugere e executa, sumarização de caso na abertura/fechamento, sugestão de disposição assistida, recomendação de artigo de Knowledge, coaching por sentimento em tempo real e o Active Retention Agent (resolução autônoma de atrito de cobrança, detecção proativa de intenção de compra, handoff inteligente para vendas humano).",Assumed,
E10,Integration / Core Clients,"Camada de integração: 36 clientes Core/Mule reconstruídos por família de API TMF — o primeiro cliente de cada família estabelece o scaffold (auth, tratamento de erro resiliente, mapeamento de DTO, retry) como Primary; operações adicionais na mesma família reutilizam como Derived. Inclui o error-handling resiliente que o estado atual não tem (telemetria: ~2,3M callouts/dia útil, ~22% respostas não-2xx). Serviço Mule é dependência externa; só o cliente é escopo.",Assumed,
