Item ID,Item Type,T-Shirt Size,Size Rationale,Complexity Drivers,Skills Needed,Risks,Solution Approach,Confidence
E01,epic,L,"L — driven by Sharing/Security (XL: Protheus governance blocker, perfil de acesso per user, LGPD/TCU audit trail, Slack EKM) + Intelligence/AI (L: Agentforce agent + MCP grounding) + Integration (L: MuleSoft OAuth + middleware + audit logging). Automation + UI modest.","Protheus ERP governance blocker (TI+Jurídico+DPO tri-party meeting required pre-kick-off — Gap G1002), MuleSoft API exposure + perfil de acesso enforcement per user, LGPD/TCU rastreabilidade (every API call logged, 5-year retention), Slack EKM deployment (AWS KMS master keys under CISO control), Agentforce conversational design for financial queries (grounding via MCP federation)","Agentforce developer (agent + prompt engineering), MuleSoft architect (API exposure + OAuth + middleware), Salesforce security architect (perfil de acesso model + audit trail + EKM), integration developer (Protheus ERP API), Slack admin (Enterprise Grid + EKM config)","Protheus governance blocker (Gap G1002): tri-party TI+Jurídico+DPO meeting must complete before F1 kick-off — escalate to seller immediately. Fallback: defer J1 to F2, launch F1 with J2/J5/J7/J8 only. Protheus API compatibility unknown (Gap G0102) — validate auth model + rate limits + perfil de acesso enforcement mechanism with TI before F1 build. Volumetria unknown (Gap G0102) — capacity planning for MuleSoft API calls blocked; F1 pre-kick-off audit required.",Agentforce agent (J1 Consultas Financeiras) orchestrates conversational financial queries in Slack → MuleSoft Anypoint API exposes Protheus ERP read-only REST APIs → perfil de acesso per user enforced via middleware (TI+Jurídico+DPO governance model) → agent returns valores em aberto + status + vencimento as Slack message cards. Every API call logged (user ID + timestamp + query + response status) for LGPD/TCU audit trail. Slack EKM (Enterprise Key Management) deployed F1 — AWS KMS master keys under Dataprev CISO control for instant revocation capability (motivated by prior 2.8M CPF breach). Agent grounding via MCP federation (Slack channel history + Protheus API responses) to minimize hallucination on financial data.,Assumed
E02,epic,M,"M — driven by Integration (M: ServiceNow REST API + OAuth) + Intelligence/AI (M: Agentforce agent + conversational design). Lower complexity than E01 (no Protheus governance blocker, no perfil de acesso per-user enforcement).","Pronto (ServiceNow) REST API integration (~30k tickets/month volume, ~13-14k from INSS), MuleSoft API exposure + OAuth 2.0, Agentforce conversational design for ticket status queries (quantos abertos, SLA, histórico), LGPD/TCU audit trail (every API call logged)","Agentforce developer (agent + prompt engineering), MuleSoft architect (API exposure + OAuth), integration developer (ServiceNow Pronto API), Slack admin","Pronto (ServiceNow) API compatibility unknown (Gap G0201) — validate auth model + rate limits + required fields with TI before F1 build. Volumetria unknown (Gap G0201) — ~30k tickets/month assumed, validate with TI for MuleSoft capacity planning.","Agentforce agent (J2 Autoatendimento Chamados) orchestrates conversational ticket status queries in Slack → MuleSoft Anypoint API exposes Pronto (ServiceNow) read-only REST APIs → agent returns ticket count, SLA status, resolution history as Slack message cards. F1 read-only eliminates N1 dependency for status queries; F2+ J3 enables ticket creation (controlled writes).",Assumed
E03,epic,M,"M — driven by Integration (M: CRM Totvs REST API + OAuth) + Intelligence/AI (M: Agentforce agent + executive briefing conversational design) + UI (M: mobile-first UX). Standard complexity, no special governance or high-volume scaling.","CRM Totvs REST API integration (~50 active users, ~30% of comercial), MuleSoft API exposure + OAuth 2.0, Agentforce conversational design for executive briefing (pipeline, contratos macro, forecast, last interactions), mobile-first UX (Slack mobile app — executive briefing on-demand during commute)","Agentforce developer (agent + prompt engineering), MuleSoft architect (API exposure + OAuth), integration developer (CRM Totvs API), Slack admin, UX designer (mobile-first conversational flow)",CRM Totvs API compatibility unknown (Gap G0302) — validate API equivalence to Salesforce Sales Cloud pattern (field mapping + data model) with TI before F1 build. CRM Totvs adoption low (~30% of comercial) — executive briefing may surface stale data if CRM not maintained; flag hygiene as adoption dependency.,"Agentforce agent (J5 Intelligence Executiva Mobile) orchestrates conversational executive briefing in Slack mobile app → MuleSoft Anypoint API exposes CRM Totvs read-only REST APIs → agent returns pipeline, contratos macro, forecast, last interactions as Slack message cards. Mobile-first UX (Slack mobile app) — executive asks during commute, arrives pautado.",Assumed
E04,epic,L,"L — driven by Intelligence/AI (L: RAG over SharePoint + Slack AI, custom grounding strategy via MCP Real-time Search API, KB corpus indexing) + Integration (M: SharePoint content extraction + indexing). Data model + automation modest.","RAG (Retrieval-Augmented Generation) corpus indexing over Portal Conexão/SharePoint normativas + Slack AI channel recaps, MCP Real-time Search API federation (Slack conversations + files + Canvases), Agentforce conversational design for KB queries (políticas RH, alçadas R$ 2M, compliance), compliance-sensitive content (TCU audit exposure risk if incorrect alçada surfaced), one-time normativas migration + delta sync","Agentforce developer (agent + prompt engineering + RAG grounding strategy), MuleSoft architect (SharePoint API + content indexing), Salesforce Knowledge admin (data model + article lifecycle), Slack admin (Slack AI + MCP federation config), integration developer (SharePoint API)","SharePoint portal Conexão API compatibility unknown (Gap G0402) — validate content extraction method + indexing strategy with TI before F1 build. RAG corpus quality dependent on SharePoint content structure — if normativas are unstructured or poorly tagged, KB search quality degrades. Slack AI + MCP Real-time Search API new technology — limited production precedent, may require iterative tuning F1 pilot.","Agentforce agent (J7 KB Normativas) indexes Portal Conexão/SharePoint normativas + Slack AI channel recaps into RAG corpus via MCP Real-time Search API federation → employee asks *""Quem assina contratos acima de R$ 2M?""* → agent queries RAG corpus (KB article + Slack channel history) → returns exact alçada policy with source citation (KB article + line). Eliminates acionamentos repetitivos (-50% target F1), reduces TCU risk (correct alçada always surfaced). One-time normativas migration from SharePoint to Salesforce Knowledge + delta sync for updates.",Assumed
E05,epic,S,"S — driven by Intelligence/AI (M: natural language parsing for scheduling commands) balanced by low Integration (S: standard MS Graph API), low Automation (S), low Security (S). Simplest epic in F1.","Agentforce natural language parsing (voice/text command → attendees + date/time + subject extraction), MS Teams Graph API integration (calendar write), Salesforce Flow orchestration (Slack → Agentforce → Flow → MS Graph API)","Agentforce developer (agent + prompt engineering for NLP scheduling), Salesforce admin (Flow builder), integration developer (MS Graph API connector)",MS Teams Graph API rate limits unknown — validate with TI for capacity planning (how many scheduling commands/day expected?). Voice command accuracy dependent on Slack voice-to-text quality — may require iterative tuning F1 pilot if accents/background noise degrade transcription.,"Agentforce agent (J8 Agendamento Automatizado) accepts voice/text scheduling commands in Slack → parses natural language (attendees + date/time + subject) → Salesforce Flow triggers MS Teams Graph API (calendar write) → agent confirms meeting created + sends invites. Eliminates ""não esquece, não esquece"" cognitive friction.",Confirmed
E06,epic,L,L — driven by Intelligence/AI (L: conversational CRM updates with field mapping + transactional integrity) + Integration (L: CRM Totvs write APIs + field mapping validation) + Analytics (M: adoption monitoring KPIs). F2 controlled writes higher risk than F1 read-only.,"CRM Totvs write API integration (F2 controlled writes — higher risk than F1 read-only), field mapping + transactional integrity validation (Agentforce conversational input → CRM Totvs fields), adoption monitoring (KPI tracking: uso semanal %, pipeline hygiene, forecast accuracy), conversational design for voice/text CRM updates, LGPD/TCU audit trail (every write logged)","Agentforce developer (agent + prompt engineering + field mapping logic), MuleSoft architect (write API exposure + field mapping + transactional integrity), integration developer (CRM Totvs write API), Salesforce admin (adoption monitoring dashboard), Slack admin","CRM Totvs write API compatibility unknown (Gap G0605) — validate field mapping + transactional integrity mechanism with TI before F2 build. Adoption measurement dependent on CRM Totvs activity logs — if logs don't capture Slack-originated writes distinctly, hygiene KPIs may be inaccurate. F2 controlled writes risk: incorrect field mapping or failed transaction → stale CRM data → forecast inaccuracy (same problem being solved). Requires robust retry logic + error handling.","Agentforce agent (J4 Adoção CRM Conversacional) accepts voice/text CRM updates in Slack (F2) → validates field mapping + transactional integrity → MuleSoft Anypoint API writes CRM Totvs via REST → agent confirms update + logs transaction. Adoption monitoring dashboard (Salesforce CRM Analytics or standard reports) tracks KPIs: uso semanal %, pipeline hygiene (staleness, completeness), forecast accuracy. Target: +40% adoption F2 via conversational interface elimination of login + form friction.",Assumed
E07,epic,M,M — driven by Integration (M: Pronto write API + required-fields validation) + Intelligence/AI (M: conversational ticket creation with NLP extraction) + Automation (M: hybrid orchestration). Standard F2 controlled-write complexity.,"Pronto (ServiceNow) write API integration (F2 controlled writes — case creation), required-fields validation (Agentforce conversational input → Pronto required fields: subject, priority, description, category), conversational design for voice/text ticket creation, LGPD/TCU audit trail (every write logged), incident workflow orchestration (Pronto ticket triggers internal routing/assignment rules)","Agentforce developer (agent + prompt engineering + NLP extraction for ticket fields), MuleSoft architect (write API exposure + required-fields validation), integration developer (ServiceNow Pronto write API), Slack admin",Pronto (ServiceNow) write API compatibility unknown (Gap G0701) — validate authentication model + required fields + category taxonomy with TI before F2 build. Volumetria unknown (Gap G0701) — ticket creation volume/day needed for MuleSoft capacity planning. F2 controlled writes risk: incomplete ticket data (missing required fields) → ticket creation fails → user frustration. Requires robust validation + retry logic.,Agentforce agent (J3 Abertura Chamados Assistida) accepts voice/text ticket creation in Slack (F2) → parses natural language (subject + priority + description) → validates required fields → MuleSoft Anypoint API writes Pronto (ServiceNow) case via REST → agent returns ticket number + SLA. Reduces friction ofício/reunião → faster incident reporting → lower MTTR.,Assumed
E08,epic,XL,XL — driven by Integration (XL: Clarity API unknown + dual-system architecture if Service Cloud migration) + Data Volume/Migration (XL: 4.5k active + 10k+ historical demands Day-0 migration if Service Cloud chosen) + Data Model (L: complex Service Cloud Case + custom objects if migration). Hard-to-reverse decision (Gap G0801) — co-living vs. Service Cloud migration deferred to F2 architecture gate. Highest complexity epic in scope.,"Clarity (Broadcom) API compatibility unknown (Gap G0801 — no KB coverage), co-living vs. Service Cloud migration decision (hard-to-reverse, one-way door), IF Service Cloud migration: 4.5k active + 10k+ historical demands Day-0 migration (Clarity → Service Cloud Case), dual-system orchestration (write Service Cloud, read Clarity archive for historical lookup), data quality unknown (Clarity source), complex data model (Case + custom objects for Clarity-specific metadata). Recommendation: defer to F2 architecture gate after F1 adoption + Clarity API validation.","Salesforce architect (Service Cloud data model + migration strategy decision), MuleSoft architect (Clarity API + dual-system orchestration if migration), integration developer (Clarity API), data migration specialist (ETL + data quality + Day-0 migration), Agentforce developer (agent + prompt engineering), Slack admin","Clarity API compatibility unknown (Gap G0801) — blocking risk for F2 build; F1 Phase 0 API discovery sprint required (2 weeks, TI provides Swagger/OpenAPI specs + sandbox credentials). Co-living vs. Service Cloud migration decision (Gap G0801) — hard-to-reverse (one-way door); if wrong choice, rollback to Clarity operationally infeasible (reverse data migration + process retraining). Recommendation: defer to F2 gate after F1 adoption validated. Data quality unknown — if Clarity data is incomplete/stale, migration to Service Cloud may surface hidden gaps. F1 pre-kick-off data audit required (sample 20 Clarity demands → validate completeness, accuracy).","F1 read-only: Agentforce agent (J6 Gestão Demandas Evolutivas) queries Clarity via MuleSoft read-only API → returns demand count, status, priorities. F2 architecture decision gate: (A) Co-living — Agentforce writes Clarity via MuleSoft write API, Clarity remains system of origin. (B) Service Cloud migration — 4.5k active + historical demands migrate to Service Cloud Case object, Clarity becomes read-only archive, Agentforce writes Service Cloud. Recommendation: defer to F2 gate after F1 adoption + Clarity API validation (3 months F1 production).",Unknown
E09,epic,XL,XL — driven by Intelligence/AI (XL: dual-topic predictive agents + Data Cloud segmentation + Einstein Discovery models) + Analytics (XL: multi-source predictive segmentation) + Data Model (L: unified Contact/Case/Opportunity model) + Automation (L: streaming CDC orchestration). Most complex AI/analytics epic in scope.,"Data Cloud streaming architecture (Pronto ticket events + CRM Totvs opportunity events → CDC ingestion), unified data model (Contact + Case/Ticket + Opportunity/Demand across 3 systems), predictive segmentation (high-risk SLA breach cohort via Einstein Discovery, churn-risk cohort via historical pipeline patterns), dual-topic Agentforce agents (J9 SLA breach alerts + J10 pipeline recommendations) with proactive activation (push alerts to Slack channels/DMs), Data Cloud first-time deployment (no prior Data Cloud in Dataprev), historical data load (6-12 months Pronto + CRM Totvs for baseline)","Data Cloud architect (streaming ingestion + unified data model + segmentation), Einstein Analytics developer (Einstein Discovery models for SLA breach + churn prediction), Agentforce developer (dual-topic agents + proactive alert orchestration), MuleSoft architect (CDC streaming from Pronto + CRM Totvs), Salesforce admin (Data Cloud config), integration developer (Pronto + CRM Totvs streaming APIs)","Data Cloud streaming architecture unknown (Gap assumption) — validate Pronto (ServiceNow) + CRM Totvs streaming API availability + CDC pattern compatibility with TI before F3 build. Data quality dependency — if Pronto tickets or CRM Totvs opportunities are incomplete/stale, predictive models degrade (GIGO: garbage in, garbage out). Historical data load size unknown — if >500k records, performance/cost implications for Data Cloud ingestion. Einstein Discovery model accuracy unknown — requires F3 pilot tuning (model training + eval loops). Data Cloud first-time deployment — limited Dataprev production precedent, may require vendor support engagement.","Data Cloud ingests streaming events from Pronto (ServiceNow) ticket lifecycle + CRM Totvs opportunity lifecycle → unified Contact (B2B client + internal employee) + Case/Ticket + Opportunity/Demand profiles → Einstein Discovery models predict high-risk SLA breach cohort (J9) + churn-risk cohort (J10) → Agentforce agents activate proactive alerts/recommendations in Slack (""Alerta: Ticket X risco SLA breach em 2h"" / ""Oportunidade Y sem atividade 30 dias — agendar call?""). Historical data load (6-12 months) for baseline segmentation. F3 phased activation after F1/F2 adoption validated.",Assumed
E10,epic,XL,"XL — driven by Sharing/Security (XL: Protheus governance blocker, Slack EKM, LGPD/TCU 5-year audit trail, alçadas approval) + Automation (L: 7-system audit trail orchestration + EKM + Flow routing) + Integration (L: MuleSoft audit trail + EKM). Experience Design workstream (6 gaps: G0104, G0402, G0505, G0605, G0704, G0207) + Governance/CoE workstream (5 gaps: G0407, G0607, G9901, G1001, G1003) add breadth.","Protheus governance model (TI+Jurídico+DPO tri-party meeting — Gap G1002 blocker), Slack EKM deployment (AWS KMS master keys under CISO control for instant revocation), 7-system audit trail orchestration (Protheus + Pronto + CRM Totvs + Clarity + Conexão + Teams + SEI — every API call logged: user ID + timestamp + query/mutation + response status), LGPD/TCU compliance (5-year audit log retention), alçadas approval workflow (R$ 2M threshold → Slack button routing to authorized approver), multi-persona CM (B2B clientes, executivos, comercial, N1/N2 — training matrix by persona, adoption KPIs, executive mandate Saulo), Experience Design workstream (UX research F1 pilot with 20-50 users, service design, accessibility WCAG 2.1 AA), Governance/CoE workstream (RACI by system, data stewardship, CoE charter, decision rights)","Salesforce security architect (Protheus governance model + audit trail + EKM + alçadas approval workflow), MuleSoft architect (7-system audit trail orchestration), Slack admin (Enterprise Grid + EKM config), Salesforce admin (audit log custom object + adoption monitoring dashboard + Flow alçadas routing), CM lead (training matrix by persona + adoption KPIs + executive mandate orchestration), UX researcher (Experience Design workstream — F1 pilot usability testing with 20-50 users), service designer (conversational flow design + Slack Canvas UX), accessibility specialist (WCAG 2.1 AA audit), CoE lead (RACI by system + data stewardship + CoE charter)","Protheus governance blocker (Gap G1002) — TI+Jurídico+DPO tri-party meeting must complete before F1 kick-off; escalate to seller immediately. Experience Design gap (6 gaps) — no UX research/service design/content strategy scoped; risk of low adoption, high support burden, accessibility non-compliance (10k+ external users). Governance/CoE gap (5 gaps) — multi-team ownership RACI undefined (Agentforce config, MuleSoft APIs, Slack admin), data stewardship (CRM Totvs vs. Salesforce truth?), CoE structure, CM execution plan. CM execution risk — 10k+ users onboarding without structured training → low adoption → F1/F2/F3 ROI failure. Slack EKM new technology — limited production precedent, may require vendor support engagement.","MuleSoft audit trail: every API call (Protheus + Pronto + CRM Totvs + Clarity + Conexão + Teams) logged to Salesforce custom object (user ID + timestamp + query/mutation + response status) — 5-year retention for LGPD/TCU compliance. Protheus governance: TI+Jurídico+DPO tri-party meeting defines perfil de acesso per user before F1 kick-off (Gap G1002 blocker). Slack EKM: AWS KMS master keys under Dataprev CISO control — instant revocation capability (motivated by prior 2.8M CPF breach). Alçadas approval workflow: KB Normativas (J7) surfaces alçadas R$ 2M → Salesforce Flow routes to authorized approver via Slack button → logs approval. Multi-persona CM: training matrix (B2B clientes, executivos, comercial, N1/N2), early adopters (20-50 pilot users F1), executive mandate (Saulo enforces adoption KPIs >60% uso semanal F2). Experience Design workstream: UX researcher + service designer embedded F1 (J1/J2 usability testing with pilot) → iterate conversational flows + Slack Canvas UX F1 → scale F2/F3. Governance/CoE workstream: RACI by system (Protheus → TI owner, CRM Totvs → Comercial owner, Agentforce → PS delivery team owner F1, handoff to CoE F2), CoE charter (roles, decision rights, change approval process), data stewardship (CRM Totvs vs. Salesforce truth decision).",Assumed
