Section,Name,Task-Level Band,Realized Band,Driving / Amplified,Human-Only / Evidence,Sources,Narrative
Headline,Blended project-level,~25-45%,~8-18%,,Assumed,[1]; [2]; [4]; [5]; [8],"task-level (~25-45%) × realization factor (0.30-0.40), antes da modulação por prontidão."
Realization Factor,0.30-0.40,,,"2 integrações legadas + ponte Apex/Platform Events em tempo real (E01/E03); LGPD/compliance não endereçada — provável sobrecarga de revisão obrigatória; 4 de 7 épicos ainda Unknown de confiança (E03/E04/E05/E07) — alarga a faixa realizada, não só a de tarefa",,,"Entre 'mixed config + custom dev' e 'regulated industry, heavy legacy integration' — a integração real com dois sistemas legados anonimizados + a ponte de Platform Events e a exposição LGPD/biometria não endereçada pesam para o lado regulado/legado do intervalo."
Readiness Signal,AI tooling posture,,,score 1/2,"A ata de discovery registra o próprio grupo usando o Claude para desenhar a jornada (.discovery-context.md linhas 4710/4937) — sinal de adoção de IA generativa no processo de scoping, mas nenhuma política formal de ferramentas de IA para o time de build foi declarada.",,
Readiness Signal,Delivery velocity / speed bias,,,score 1/2,"Unknown — nenhuma fonte de discovery descreve cadência de release, sprints ou pipeline de deploy da PRODESP.",,
Readiness Signal,Data & environment hygiene,,,score 1/2,Unknown — outputs/01-solution.md registra que a estratégia de sandbox/DevOps 'não foi abordada em nenhuma fonte de discovery'; mesma lacuna para a higiene de dados dos dois sistemas legados anonimizados.,,
Readiness Signal,Legal / security / compliance posture,,,score 0/2,"O próprio inventário rotula conformidade como 'Unknown, com alerta' (.discovery-context.md linha 242) — dado pessoal via WhatsApp, biometria e autenticação gov.br, sem decisão de residência/criptografia e sem política de dados de IA declarada.",,
Readiness Scenario,Low readiness,,~6-10%,score range 0-2,Aprovar ferramentas de IA para o time de build (não só discovery); Publicar política de tratamento de dados de IA/LGPD; Confirmar cadência de release da PRODESP,,"Ganhos ficam no piso enquanto a postura de compliance (LGPD ainda 'Unknown, com alerta') e a cadência de release não são esclarecidas — cenário mais conservador dado o que falta confirmar hoje."
Readiness Scenario,(current) Mid readiness,,~8-18%,score range 3-5,"Confirmar postura de segurança/compliance (política de dados de IA publicada, LGPD endereçada); Confirmar disciplina de sandbox/DevOps dos dois sistemas legados; Padronizar cadência de entrega rápida (sprints/deploys frequentes)",,"Cenário atual (score 3/8) — uso pontual de IA já existe no processo de discovery, mas sem política formal nem cadência de entrega confirmada, o ganho fica no meio da faixa."
Readiness Scenario,High readiness,,~15-22%,score range 6-8,,,"Com política de dados de IA publicada e cadência de release mais rápida confirmada, o teto da faixa fica ao alcance — mas isso exige decisões hoje em aberto (LGPD, governança — gap de governança #16)."
Category,Technical Engineering & QA,~20-40%,~6-16%,"Create Code (realistic enterprise / legacy); Analyze Code & Fix Defects; Generate Test Data; Write Test Classes | epics: E01, E03, E05",,[1]; [4]; [8],"E03 (MuleSoft contra dois sistemas legados) e E01 (ponte Apex/Platform Events WhatsApp↔Slack) concentram o maior esforço — e a maior taxa de IA, com os contratos de erro legados e o limite de Platform Events (G0111/R14) fora do caso de tela-limpa que gera os ganhos maiores [4]."
Category,Analysis & Design,~25-45%,~8-18%,"Write User Stories & Epics; Discovery Preparation; Generation of Analysis Models | epics: E04, E07",,[2],"As regras de seleção de E04 e o contrato Slackbot↔Agente do T7 de E07 (G0703) ainda não foram fechadas pelo cliente — a IA acelera o rascunho, mas a decisão que fecha esses gaps continua totalmente humana [2]."
Category,Documentation & Knowledge Management,~30-50%,~10-20%,"Generate Documents; Knowledge Transfer | epics: E07, E06",,[7],"A documentação do contrato de integração Slackbot↔T7 de E07 e o relatório executivo de E06 são os ganhos mais confiáveis do projeto, mas a postura de compliance ainda não endereçada (sem política de dados no dossiê) limita até onde a documentação pode avançar sem revisão adicional [7]."
Category,Project Management & Operations,~20-35%,~6-14%,"Project Status Reports; Coordination Meeting Time | epics: E01, E05",,[7],"Relato de status e coordenação cruzada no caminho crítico E05→E01→E06 ganham um pouco de ritmo com IA, mas o alinhamento de stakeholders sobre os gaps de governança e compliance ainda abertos segue no ritmo humano [7]."
Human Barrier,Project Pulse Reports,,~0%,,"Trabalho de construção de confiança que a IA pode resumir, não facilitar.",,
Human Barrier,Stakeholder Alignment,,~0%,,"Negociação humano-a-humano; a IA rascunha posições, as pessoas decidem.",,
Human Barrier,Conflict Resolution,,~0%,,Julgamento humano.,,
Human Barrier,Decisão de compliance/LGPD,,~0%,,"Residência de dados, criptografia e a exigência de opt-out (L-12) exigem decisão jurídica/de governança — hoje registrada como Unknown, com alerta, sem política no dossiê que a IA possa rascunhar sozinha.",,
Human Barrier,Change management da mudança de frontend do atendente (Service Console → Slack),,~0%,,"Adoção de rotina nova por duas populações de atendentes é mudança de comportamento, não tarefa de rascunho — a IA produz o material de treinamento, não a adesão.",,
