Role ID,Role,Seniority,Location,Count,Side,Phases Active,Allocation,Allocation by Phase,Justification,Rationale,Comments,Suggested Count (opt-in),Count Source,Multi-disciplinary Note
R01,Project / Program Manager,regular,onshore,1,ps,0-4,full,,"Único fio condutor client-facing num programa de 5 fases com dois caminhos críticos em paralelo (E05→E01→E06 e E03→E02→E07); reporta status, facilita a Fase 0 de resolução de gaps e é o ponto de escalonamento para o gap de product owner do lado cliente.",,,,,
R02,Solution Architect,senior,onshore,1,ps,0-5,half,,"Owns o *o quê* através de 6 clouds/produtos (Slack, Service Cloud, Agentforce, MuleSoft, Data 360, Tableau) e 9 épicos; dono da tradução da decisão de compliance/LGPD (ainda 'Unknown, com alerta') em requisitos de arquitetura e do desenho conceitual da ponte Apex/Platform Events↔Slack (G0111/R14). Estende-se à Fase 5 (Operação Assistida) a 0.5 FTE para dar continuidade arquitetural ao handover de sustentação — mesmo papel, sem troca de pessoa no meio do encerramento do programa.",,,,,
R03,Technical Architect,senior,onshore,1,ps,0-3,full,,"Deviation do default offshore: integração real com os dois sistemas legados + sistema externo de agendamento (E03) e o desenho técnico da ponte Apex/Platform Events (E01/E05) exigem iteração acoplada por timezone com as equipes e sistemas legados do cliente. Dono do limite de Platform Events (Publishing vs. Delivery Allocation, G0111/R14).",,,,,
R04,Developer,senior,offshore,1,ps,1-2,full,,Build da camada MuleSoft contra os dois sistemas legados (E03) e da classe Apex que monitora Platform Events e retransmite ao Slack (E01) — a superfície de maior risco técnico do programa (baseada na demo de PoC já validada com o cliente). Dirige o developer regular abaixo.,,,,,
R05,Developer,regular,offshore,1,ps,1-2,full,,"Absorve volume de build em E05 (pipeline de autoprovisionamento de atendente + criação do canal pessoal de Slack) e configuração de Presence Status/Routing Configuration em E01, sob direção do developer senior de integração.",,,,,
R06,Developer,regular,offshore,1,ps,3,full,,"Domínio de capacidade distinto do pod de integração — Slackbot de apoio presencial (E02), base de conhecimento por especialidade e schema de Data 360 para o Agentforce (E07).",,,,,
R07,Quality Assurance,regular,offshore,1,ps,1-4,half,2: full,"QA amplificado por IA, nunca substituído — surge para full na Fase 2 para validar o fluxo citizen-facing WhatsApp+gov.br e o comportamento da ponte Apex/Platform Events sob o limite ainda não confirmado (G0111/R14).",,,,,
R08,Functional Consultant,regular,offshore,1,ps,0-3,full,,Fecha com o cliente as regras de seleção de E04 e o contrato Slackbot↔Agente do T7 de E07 (G0703) — 2 dos 4 épicos ainda de confiança Unknown; facilita a resolução de gaps na Fase 0 junto ao PM.,,,,,
R09,Change & Adoption,regular,onshore,1,ps,"2-3,5",half,,"Change management é a maior barreira só-humana específica deste projeto (efficiency.json, human_barriers): migração de rotina do atendente de Service Console para Slack, para duas populações de atendentes (guichê e antecipação). Expandido nesta sessão (2026-09-24, escopo E09) para construir a trilha de capacitação formal por persona — agora incluindo supervisor, persona não coberta antes desta revisão — e um programa de train-the-trainers, reforçando na Fase 5 (Operação Assistida) no momento do handover; alocação sobe de quarter para half para cobrir o volume de conteúdo/sessões novo.",,,,,
R10,Experience Design,regular,offshore,1,ps,2,quarter,,"Net-new UX real e nomeada: jornada cidadã WhatsApp+gov.br de antecipação de atendimento (E01), incluindo acessibilidade da autenticação de identidade/biometria.",,,,,
R11,Functional Consultant,regular,onshore,1,ps,5,full,,"Escopo novo, adicionado pelo usuário nesta sessão (2026-09-24) — time mínimo definido diretamente pelo usuário para a Fase 5 (Operação Assistida). Solution Consultant onshore 1 FTE cobrindo o suporte funcional à operação assistida das duas jornadas e a produção da documentação de handover — onshore por decisão do usuário (grill do revise, 2026-09-24), dado o contato direto com a operação do cliente nas 4 semanas de acompanhamento.",,,,,
R12,Developer,regular,onshore,1,ps,5,full,,"Escopo novo, adicionado pelo usuário nesta sessão (2026-09-24) — time mínimo definido diretamente pelo usuário para a Fase 5 (Operação Assistida). Technical Consultant onshore 1 FTE cobrindo suporte técnico a incidentes das duas jornadas em produção e a transferência de conhecimento técnico ao time de sustentação do cliente — onshore por decisão do usuário (grill do revise, 2026-09-24), dado o contato direto com a operação do cliente nas 4 semanas de acompanhamento.",,,,,
C01,Product Owner / Decision-Maker,regular,onshore,1,client,0-4,half,,"GAP — não nomeado ainda (confirmado pelo usuário nesta sessão, 2026-09-24). Governança rotulada 'Unknown' no dossiê de discovery (linha 248); sem este papel, G0309/G0501/G0508/G0703 e o sponsor ausente de E06 seguem bloqueados. Também é o sinal-chave testado pelo gate de qualificação do lane AI-native (decision-maker empoderado, cadência de decisão rápida).",,,,,
C02,Client IT / Systems Access,regular,onshore,1,client,0-1,quarter,,"GAP — acesso/credenciais não confirmados (confirmado pelo usuário nesta sessão, 2026-09-24) para os dois sistemas legados + sistema externo de agendamento. Bloqueia o desenho de Named Credentials/OAuth de E03 e o teste ponta a ponta da ponte Apex/Platform Events (E01/E05) até resolvido.",,,,,
C03,UAT / Atendente Testers,regular,onshore,2,client,2-3,quarter,,Confirmado disponível pelo usuário nesta sessão (2026-09-24) — cobre UAT das duas jornadas: antecipação digital (E01/E04) e apoio presencial via Slack (E02/E07).,,,,,
