Gap ID,Category,Gap/Question,Impact/Notes
G0101,Source Conflict,"O esforço e o status MVP da tarefa 'Renderizar resultado da validação OPA como HTML' divergem entre as duas abas do assessment: na aba Detail3 aparece como 60h e MVP='Si', enquanto na aba 'Salesforce Portales' aparece como 40h e MVP='No' (com nota de que, sem isso, o resultado da OPA é exibido como texto plano). É preciso reconciliar antes de fechar a base de estimativa: são 60h no escopo Fase 1, 40h fora do MVP, ou um valor intermediário?","RESOLVIDO no grill 2026-08-04: render OPA em HTML = 60h, Fase 1 (MVP). É a tela de decisão de aprovação do gestor; texto plano degradaria a decisão no go-live. Base do E01 fixada em 60h para este item. [histórico] Divergência de 20h (~1/3 do item mais caro do épico) e, mais grave, contradição de inclusão no MVP. Afeta diretamente a base de esforço do E01 e a experiência do gestor no fluxo de aprovação. Ligado ao risco R5 do brief."
G0102,Ambiguity,"O 'Wizard para geração da API de Negócio/Técnica, anexo de contrato, validação e envio para aprovação' (~160h, 21 SP) está marcado 'Deseável / No' em ambas as abas. O brief o trata como candidato de Fase 2, mas isso não foi confirmado com o cliente. É preciso decidir explicitamente: o Wizard entra na Fase 1, fica para Fase 2, ou sai de escopo? Sem ele, o usuário percorre as etapas do ciclo de vida manualmente, tela a tela.","160h representa a maior tarefa isolada do épico. A decisão muda materialmente o esforço, a experiência do usuário e o desenho das telas usuário/gestor. Precisa de decisão consciente do cliente, não de suposição."
G0103,Logical Gap,"As integrações de saída do Portal Governança (validar contrato em OPA, YAML→HTML do Anypoint, OneTrust, ServiceNow, PortalTech/bypass, Jira/CASP) dependem das XAPIs segregadas entregues no épico E06 (MuleSoft). O assessment nota que a OPA é invocada via XAPI MuleSoft e que vários itens têm 'esforço majoritariamente do MuleSoft'. Não há sequenciamento nem contrato de API acordado entre E01 e E06. Qual a dependência e ordem de entrega? As horas Salesforce do E01 pressupõem XAPIs prontas?","Sem os contratos de XAPI definidos e o sequenciamento E06→E01, o fluxo de governança não fecha ponta a ponta. Risco de bloqueio de cronograma e de dupla contagem/lacuna de esforço entre as duas trilhas."
G0104,Potential Risk,"A limitação do Anypoint da MuleSoft (destacada nos Highlights do assessment, risco R2) pode afetar diretamente a obtenção e renderização do contrato/YAML em HTML e a navegação até o contrato no Anypoint — funcionalidades centrais do E01 (itens 28–30, ~80h). Qual é exatamente a limitação e ela inviabiliza ou onera o padrão de render assumido no assessment?","Se a limitação impedir o padrão previsto, o desenho da renderização de contrato precisa ser repensado, com impacto em esforço e em experiência. Bloqueador técnico a validar antes do SOW."
G0105,Missing Requirement,"A lógica do processo de aprovação da API Técnica ('Flow Approval Process': envio, histórico, notificação por e-mail, aprovar/rejeitar/reatribuir — item 25, 32h) e o fechamento automático 'após 3 rejeições' (item 26, 16h) não estão especificados em detalhe: quem são os aprovadores e como são determinados (hierarquia, fila, papel de Gestor Governance)? A contagem de 3 rejeições é por versão da API, por contrato ou acumulada no ciclo de vida? Há reabertura ou recurso após o fechamento? Além disso, o objeto 'Revisão de API' (item 12) é marcado como possivelmente substituível pelo Flow Approval Process — decisão de modelo de dados ainda em aberto.","Regras de aprovação e o gatilho de fechamento são o coração funcional do épico. Ambiguidade aqui gera retrabalho no Flow, no modelo de dados e nos testes de não-regressão (contexto brownfield)."
G0106,Missing Requirement,"Design de experiência: o Portal Governança cria superfícies de usuário/gestor novas (Home usuário, Home gestor, 'Minhas aprovações', anexo/versionamento de contrato, solicitação de exceção) sobre um fluxo de aprovação de múltiplos estados. O assessment orça a configuração das telas, mas não prevê pesquisa de UX / service design / design de conteúdo para esse fluxo. Esse trabalho de experiência está no escopo da Salesforce, é responsabilidade do BV, ou reaproveita-se o padrão atual do portal em produção?",Fluxos de aprovação complexos com baixa usabilidade geram baixa adoção e chamados de suporte. Definir a fronteira de responsabilidade evita lacuna de entrega e expectativa desalinhada. Ligado à Open Question 9 do brief.
G0107,Missing Requirement,"Governança de config e autoridade de decisão: o ciclo de vida de API do E01 é operado por múltiplos times (Governance, times donos das APIs, integração MuleSoft) e cruza vários sistemas (Jira/CASP, OneTrust, ServiceNow, PortalTech, Anypoint). Quem detém a autoridade sobre as regras do ciclo de vida (estados, critérios de validação OPA, política de exceções) e sobre a configuração multi-time? Há necessidade de estrutura de governança / Centro de Excelência / gestão de mudança no escopo, ou isso fica com o BV?","Sem dono claro das regras e da configuração, decisões conflitantes entre times travam a evolução do portal e comprometem a estabilidade em produção (contexto brownfield). Ligado à Open Question 10 do brief."
G0108,Ambiguity,"Os batches de sincronização de catálogos Torre/Sigla/Tribu/Squad (itens 40–43, 'esforço majoritariamente do MuleSoft') e a validação de existência de versões Major/Minor publicadas (item 18, 24h, 'possível relação hierárquica') pressupõem que os catálogos e o histórico de versões já foram migrados/populados. Essa dependência não está sequenciada com o épico de migração (E05), cujo status MVP é ele próprio divergente entre as abas. Os catálogos estarão disponíveis quando o fluxo de governança do E01 entrar em operação?","Se os catálogos e versões-pai não estiverem migrados, as validações de versão e a sincronização batch não funcionam, quebrando a regra de publicação de novas versões. Dependência cruzada E01↔E05 a explicitar."
G0201,Potential Risk,"O Portal Parceiros é externo (autorregistro + login de parceiros), o que ativa diretamente o gap de licenciamento Experience Cloud (R1): não foi contemplado no contrato do Experience Hub. É preciso definir o tipo de licença — externa por membro (member-based) vs. por login (login-based) — e a contagem de usuários externos que a dimensiona (R6, hoje desconhecida). Quem é o owner da contratação (account team / BV) e qual o prazo?",Bloqueador de go-live: sem licenças o portal externo não é publicável. O tipo de licença e a contagem por persona definem custo recorrente e capacidade/performance; a contagem desconhecida (R6) impede fechar R1 e o roadmap de publicação. Precisa entrar como premissa/decisão antes do SOW.
G0202,Ambiguity,"O login diferenciado (senha para acesso básico, IdP para parceiro) depende do padrão Login Discovery com o mesmo FederationId para os dois tipos de usuário. O IdP dos parceiros não está nomeado nem confirmado como disponível: qual provedor de identidade e ele já suporta os parceiros externos ou precisa ser provisionado/federado? A regra de roteamento (senha vs. IdP) está definida?","As 32h do login diferenciado assumem um IdP pronto e federável. Se o IdP externo não existir ou exigir integração nova, há esforço e dependência de terceiros não dimensionados, além de risco de bloqueio de acesso de parceiros no go-live."
