Item ID,Item Type,T-Shirt Size,Size Rationale,Size If Assumption Breaks,Complexity Drivers,Skills Needed,Risks,Solution Approach,Confidence
E01,epic,M,"M — impulsionado pelo agente Agentforce em canal (grounding em Data 360/Knowledge, desenho de tópico/ação); configuração de canais e Canvas é baixa complexidade.",,"Desenho do agente Agentforce (tópico, dados, guardrails); mecanismo de sincronização Canvas↔Knowledge para manter conteúdo auditável.","Agentforce Consultant, Slack Admin, Solution Architect","As 1.800 licenças Slack já validadas cobrem a Sala de Situação, não o headcount real de atendentes nos 244 postos + 900 totens — dimensionamento de licenças pendente com o cliente (não é um driver de tamanho técnico, mas afeta o custo de licenciamento).","Canais Slack por serviço + Canvas lastreado em Salesforce Knowledge + agente Agentforce de tópico único grounded em Data 360/Knowledge, embutido no canal.",Assumed
E02,epic,S,"S — roteamento estático via Slack User Group, sem lógica de decisão automatizada na Fase 1.",,"Nenhum driver de complexidade técnica alto; a incerteza está na cobertura real de especialistas por tema/turno (organizacional, não técnica).",Slack Admin,"G0214 — se a cobertura de especialista for insuficiente para roteamento estático por User Group, a Fase 1 precisará de lógica de roteamento dinâmico antes do previsto.",Slack User Groups estáticos por especialidade; atendente aciona huddle diretamente do canal de serviço.,Assumed
E03,epic,M,M — dimensionado conservadoramente para cima por causa da dimensão Integration ser Unknown (nenhuma fonte de sinal de ocupação identificada); pode subir para L se instrumentação nova (check-in/totem) for necessária.,M; L se exigir instrumentação nova (integração com totens/check-in) para gerar o sinal de ocupação do zero.,G0315 — fundação de dados compartilhada com E10: nenhum sistema de registro de ocupação em tempo real por posto foi identificado; resolver esse sinal uma única vez serve os dois épicos.,"Solution Architect, Integration Developer (contingente à fonte do sinal)","Dimensão de maior incerteza do programa junto com E09 — sem confirmação do que já existe (mesmo fora do Salesforce) para ocupação/fila por posto, o esforço real só se conhece após a validação com a Prodesp.",Objeto de sinal de ocupação por posto (fonte a confirmar) alimentando lógica de roteamento entre os 244 postos + 900 totens.,Unknown
E04,epic,S,S — Flow declarativo de broadcast com gatilho manual; sobe se gatilho automático via integração de monitoramento for exigido.,S; M se gatilho automático via webhook/API do stack de monitoramento da Prodesp for exigido.,G0401/G0413 — ambiguidade sobre gatilho automático vs. manual ainda não resolvida com o cliente.,Salesforce Admin/Flow Developer,"Se a Prodesp exigir gatilho automático já na Fase 1, o épico sobe de tamanho pela necessidade de integração com o stack de monitoramento via webhook/API.",Flow de broadcast disparado manualmente por atendente/operação quando um sistema crítico cai.,Assumed
E05,epic,M,"M — tamanho derivado por julgamento de entrega (papéis, treinamento, política de canais, change management), não pelas oito dimensões técnicas, que não se aplicam a este épico não-técnico. O driver é a amplitude do rollout (244 postos + 900 totens), não a complexidade de build.",,Amplitude organizacional do rollout; múltiplos papéis e políticas a definir e comunicar através de uma rede de atendimento de grande escala.,"Change & Adoption Lead, Program Manager","Owner de governança de agentes de IA do lado Prodesp ainda não identificado — mais crítico agora que a Fase 2 (atendimento agêntico 24/7) é escopo confirmado, não visão.","Definição de papéis/responsabilidades, currículo de treinamento de atendentes, política de canais e critérios de adoção do Slack como posto de trabalho, aplicando o checklist de 5 atributos e o framework LATAM de governança agêntica.",Confirmed
E06,epic,M,"M — dois drivers concorrentes no mesmo tier (agente de triagem + integração de gatilho de agendamento); nenhum ainda XL, mas ambos carregam incerteza.",M; L se for necessário construir uma integração dedicada para emitir o evento de gatilho de agendamento.,"G0613 — dependência real não é o canal WhatsApp (já disponível), é o evento de gatilho do sistema de agendamento.","Agentforce Consultant, Integration Developer","Se nenhum sistema de agendamento existente puder emitir o evento de gatilho, será necessária uma integração dedicada só para obter esse sinal.","Agente Agentforce de triagem/pré-atendimento pelo WhatsApp, disparado por evento de agendamento, grounded em Data 360 (cadastro/histórico da cidadã).",Unknown
E07,epic,M,M — driver principal é a dimensão de segurança/compartilhamento pela sensibilidade da imagem de documento; reutiliza a fundação de capacidade de E03 sem custo de integração adicional.,M; L se um visualizador seguro dedicado (sem download nativo do Slack) for exigido para conformidade LGPD.,"G0712 — se a LGPD exigir um visualizador seguro dedicado (documento nunca baixado, só visualizado), a complexidade de segurança sobe significativamente.","Solution Architect, Security/Compliance-aware Architect",Terceiro consumidor da mesma fundação de dados de capacidade ociosa (junto com E03 e E10) — depende da resolução de G0315.,"Atendente ocioso em outro posto valida documento à distância via Slack, usando o mesmo posto de trabalho de E01, reutilizando o sinal de capacidade ociosa de E03.",Assumed
E08,epic,L,L — impulsionado pelo agente multi-tópico com escalonamento human-in-the-loop e guardrails de confiança; modelo de dados e volume permanecem baixos.,,"Desenho de tópicos/ações do agente, estratégia de grounding, guardrails (nunca afirmar status de emissão sem confirmação humana; nunca revelar PII), e o mecanismo de handoff para humano.","Agentforce Consultant (sênior), Conversational Designer, Integration Developer","Revisão humana no ponto de escalonamento precisa ser genuína, não pro forma — consistente com a análise de LGPD Art. 20 do Discovery Brief; owner de governança de agentes ainda não identificado (ver E05).","Agente Agentforce multi-tópico atendendo pelo WhatsApp 24/7, com escalonamento human-in-the-loop, seguindo a doutrina 'humanos direcionam, agentes executam, a plataforma governa'.",Assumed
E09,epic,XL,"XL — dimensão de integração é o driver dominante (hub de orquestração multi-sistema); segurança/compliance amplifica ainda mais pela natureza regulada (gov.br, biometria).",,"Identidades de Sistema Semântico, 'Atendimento', T7 e Biometria ainda não confirmadas (G0901-G0910) — o formato da camada (API-led connectivity) pode ser desenhado, mas protocolos/autenticação específicos ficam pendentes.","Integration Architect (MuleSoft), Technical Architect, Security/Compliance-aware Architect","Confiança Unknown herdada de epics.json — o épico de maior risco técnico do programa. Qualquer identidade que exija protocolo não padronizado (SOAP, arquivo batch, SDK proprietário de biometria) eleva ainda mais o esforço além do já dimensionado como XL.","Camada de integração MuleSoft API-led (System/Process/Experience API) ligando a plataforma Salesforce Headless a gov.br, biometria estadual, legado Prodesp, Sistema Semântico e T7.",Unknown
E10,epic,L,L — impulsionado pela dimensão de Analytics & Insights (modelo preditivo + retroalimentação); dependente da resolução da fundação de dados compartilhada com E03.,"L; XL se exigir integração de saída para BI externo da Prodesp além do modelo nativo Salesforce, ou se o sinal de capacidade de E03 não for resolvido a tempo de alimentar o treinamento.","Os KPIs de exemplo (15/16/17 min) são ilustrativos, não uma métrica existente — isto é build novo, não exposição de dado já validado. G1012 — direção de integração (nativo Salesforce vs. BI externo) ainda não confirmada.","Data Cloud/Data 360 Architect, Einstein/AI Consultant","Sem o sinal de capacidade de E03 resolvido, o modelo preditivo não tem dado de entrada confiável para treinar — dependência direta entre os dois épicos.","Data 360 como camada de dados cruzados em tempo real, alimentando um modelo preditivo de tempo de espera com retroalimentação dos agentes de IA.",Assumed
