Gap ID,Category,Gap/Question,Impact/Notes
G0101,Missing Requirement,"Modelo de propriedade e estrutura de conteúdo do Canvas fixado por canal (quem autora, aprova e mantém a regra/conhecimento vigente; taxonomia de canais por serviço) não está definido.","Bloqueador de design: sem esse modelo, o Canvas corre o risco de reproduzir o mesmo conhecimento disperso e desatualizado que a epic pretende substituir. Já sinalizado como open item no Discovery Brief e como [assumption] nos kb_sources da epic."
G0102,Potential Risk,"As 1.800 licenças Slack Enterprise Plus já validadas cobrem a Sala de Situação (monitoramento digital), não o headcount real de atendentes nos 244 postos físicos + 900 totens de autoatendimento que esta epic pretende colocar no Slack.","Risco direto de dimensionamento e custo de licenciamento incremental; sem esse número, `estimate`/`commercials` não conseguem validar cobertura de licença para o rollout da Fase 1. Confirmado pelo usuário como não dimensionado ainda."
G0103,Missing Requirement,"Escopo real do piloto (qual posto, quantos atendentes, quais serviços) está totalmente aberto — os nomes citados (Ana, Anderson, Felipe, Santo Amaro, CIN) são storyboard do material de venda, não um piloto combinado com a Prodesp.","Sem posto/serviço/headcount definidos, a epic não tem unidade de medida para sizing, sequenciamento de rollout ou critério de sucesso do piloto."
G0104,Logical Gap,"O workflow de 'roteamento de casos para postos com capacidade ociosa' não define o critério de capacidade ociosa (fila, tempo médio de atendimento, disponibilidade do atendente) nem a fonte de dados que alimenta essa decisão.","Sem critério objetivo, o roteamento entre postos vira julgamento manual do atendente, esvaziando o valor de automação citado no objetivo de negócio (visibilidade de capacidade ociosa sem contratar gente nova)."
G0105,Ambiguity,"O 'huddle com especialista sem sair da cadeira' não identifica quem é o especialista (outro atendente sênior, back-office Prodesp, suporte de sistema, ou Salesforce) nem o SLA/disponibilidade esperada desse papel.","Sem essa definição, o desenho de escalonamento por huddle não tem persona de destino nem expectativa de tempo de resposta — afeta diretamente a promessa de reduzir o tempo de 'preciso de ajuda' até o cidadão atendido."
G0106,Logical Gap,"O 'workflow de aviso quando um sistema cai' (contingência) não especifica a fonte do sinal de indisponibilidade (monitoramento automático de sistema legado, ou relato manual do atendente) nem o canal/audiência do broadcast.","Sem fonte de sinal definida, o workflow de contingência depende de detecção manual, o que reduz a velocidade de resposta que a epic promete resolver (hoje: atendente levanta, usa celular pessoal ou pede para voltar)."
G0107,Potential Risk,A premissa de design de que nenhum dado biométrico bruto trafegará nos canais de texto do Slack (apenas relato textual do problema) ainda não é um controle implementado — é uma intenção a validar.,"Risco de compliance LGPD/segurança se o controle não for tecnicamente reforçado (ex.: DLP, guardrail de Agentforce) e depender apenas de disciplina do atendente. Relevante porque a coordenação institucional em Slack é a proposta de valor central de LGPD desta epic."
G0108,Missing Requirement,"Guardrails formais do agente Agentforce-em-canal (papel, dados acessíveis, ações permitidas, o que ele não deve fazer) ainda não foram definidos para o caso de uso do guichê — o framework de 5 atributos e o risco de 'revelar PII a usuário não autenticado' (padrão nomeado em `knowledge/staar-agentforce-governance-guardrails.md`) ainda não foi aplicado a este agente.","Sem guardrails formais, o agente em contexto de atendimento (dúvidas do próprio fluxo) corre o mesmo risco de vazamento de PII/dados sensíveis nomeado como failure mode padrão da Salesforce PS para agentes Agentforce. [extends: staar-agentforce-governance-guardrails.md]"
G0109,Missing Requirement,"Owner de governança de agentes de IA do lado Prodesp ainda não identificado — quem aprova o conteúdo do Canvas, quem monitora o comportamento do Agentforce em canal, quem responde por incidentes de guardrail.","Confirmado pelo usuário como não identificado ainda. Mais crítico à medida que o Agentforce entra em contexto de atendimento real (não apenas monitoramento), mesmo na Fase 1 tática."
G0110,Missing Requirement,"Governança/Centro de Excelência (CoE) ou função de change management para a operação contínua do posto de trabalho Slack — política de canais, ciclo de vida de canais por serviço, versionamento do Canvas — está em escopo desta epic/SOW, ou é responsabilidade do cliente (Prodesp)?","Pergunta de disciplina voltada ao comprador. Governança e adoção (papéis, treinamento, política de canais) já foram confirmadas em escopo pelo usuário no discovery, mas a estrutura operacional contínua (quem mantém depois do go-live) ainda não foi detalhada. Ver `knowledge/staar-agentforce-governance-guardrails.md` (modelo de CoE) como referência, se o cliente optar por trazer isso para dentro do escopo."
G0111,Missing Requirement,"Pesquisa de experiência do usuário / desenho de serviço (UX research / service design) para o novo posto de trabalho do atendente — uma superfície de trabalho diária inteiramente nova, substituindo ferramentas e conhecimento hoje dispersos — está em escopo desta epic, ou o desenho de canais/Canvas/huddle será feito sem validação direta com atendentes reais?","Pergunta de disciplina voltada ao comprador. Sem esse trabalho, o desenho de canais-por-serviço, estrutura de Canvas e fluxo de huddle corre risco de não refletir o comportamento real do atendente no guichê, ameaçando adoção."
G0112,Ambiguity,"Identidade dos sistemas legados citados no diagrama de arquitetura-alvo (T7, Sistema Semântico, 'Atendimento') não está resolvida. O usuário decidiu deprioritizar o fechamento do T7 no discovery, mas sinalizou que seria bom resolver antes do desenho técnico da Fase 1 especificamente.","Ainda que a integração pesada com esses sistemas seja majoritariamente Fase 2 (MuleSoft), o material cita 'T7' como fonte de dúvidas dentro do próprio fluxo de atendimento do guichê (Fase 1) — se o Agentforce-em-canal precisar consultar esse sistema, a identidade não resolvida bloqueia o design técnico, não apenas o discovery."
G0113,Potential Risk,Champion/patrocinador executivo da Balcão V2 no lado Prodesp ainda não identificado — diferente da Frente A de licenças (que tem Thiago Waltz como ponto de entrada).,"Risco de prontidão do cliente: sem patrocinador executivo claro para o piloto tático, decisões de escopo de piloto (posto, serviço, headcount — ver G0103) e adoção de política de canais podem ficar sem dono do lado do cliente."
G0114,Potential Risk,"Documento de posicionamento LGPD/Trust sobre localização de inferência do Agentforce — existência confirmada pelo usuário, mas sem documento/URL específico localizado ou citável; pesquisa web dedicada não encontrou orientação pública substituta.","Se a epic depender de afirmar postura de compliance sobre onde a inferência de IA ocorre (relevante dado que o agente estará em contexto de atendimento real, não apenas monitoramento), esse gap precisa ser fechado com o time de conta antes de qualquer entregável cliente-facing assumir postura de compliance."
G0115,Logical Gap,"O material de venda de origem (BSA) não detalha como o atendente sinaliza start/end de um caso dentro do canal (abertura/fechamento de thread, status do atendimento) — não há modelo de ciclo de vida do 'caso' dentro do canal Slack.","Sem esse modelo, fica ambíguo como medir o objetivo de negócio citado (reduzir tempo do 'preciso de ajuda' até a cidadã ser atendida) — não há evento de início/fim claro a instrumentar."
G0301,Capability Gap,"No real-time capacity signal source has been identified for any of the 244 postos or 900 totens. Discovery describes the desired outcome (""Redirecionamento dinâmico: elimine filas em postos superlotados utilizando a capacidade ociosa de retaguarda de outras unidades"") but names no system, feed, or manual process that reports which postos/attendants/totens are idle right now. The epic's kb_sources field already flags this as an assumption — no KB document covers a workforce-availability or queue-state data source for this account.","This is the load-bearing dependency for the entire epic: without a capacity signal, there is nothing to route against. Until a source is named (existing SF/PRODESP system, new instrumentation, or manual self-report in Slack), E03 cannot be designed, sized, or built — it can only be assumed. Should be treated as a pre-build blocker for Fase 1, not a detail to resolve during build."
G0302,Potential Risk,"If no automated capacity signal exists, the only fallback is attendants self-reporting availability/idle status manually inside Slack (e.g., a status field, a channel post, a Canvas toggle). This turns a systems-integration capability into a change-management and adoption problem, and the signal quality degrades if attendants don't self-report consistently.","Risk to the outcome metric (""sem necessidade de contratar mais atendentes"") — a stale or gamed manual signal could route cases to postos that are not actually idle, defeating the purpose. Adoption/governance already confirmed in scope per the discovery brief, but this specific mechanic (manual capacity self-report) has not been named or agreed with the client."
G0303,Missing Requirement,"""Capacidade ociosa"" is undefined operationally. Is it: (a) attendant headcount currently unassigned, (b) queue length/wait time per posto, (c) service-type-specific availability (idle for CNH but saturated for CIN), or (d) totem throughput/availability? The epic description bundles postos and totens together but totens are self-service kiosks, not staffed capacity — their role in a ""capacity"" model is unclear.","Without a definition, there is no way to size the data model, the routing logic, or the UI surface (what an attendant sees when deciding to route a case). Blocks design and estimation."
G0304,Ambiguity,"The two source decks describe two different ""idle capacity"" mechanics that could both plausibly be what E03 means: Corte 1 (Jackson) describes an idle colleague joining a huddle/conference for specialist escalation at the same case ('o colega ocioso do outro posto' backing up the current attendant); Corte 2 (Vinicius) describes 'Felipe,' an idle attendant elsewhere, pulling entire cases for remote document validation before or instead of an in-person visit. E03's description ('roteamento de casos entre os 244 postos + 900 totens, direcionando demanda para onde há capacidade ociosa') does not specify which of these two mechanics — augment-in-place via huddle, or reassign-the-case-elsewhere — it is building.","These imply materially different technical builds (presence-aware huddle routing vs. case/queue reassignment across postos) and different governance/LGPD handling (case data crossing posto boundaries vs. staying local). Needs client confirmation before design; currently assumed to be case-reassignment based on the epic's own wording (""roteamento de casos""), but that reading conflicts with the Corte 1 huddle framing in the same source material."
G0305,Logical Gap,"The stated business objective — ""sem necessidade de contratar mais atendentes"" — has no baseline. Current idle-time rate per posto, current overflow/queue-abandonment rate, and current headcount distribution across the 244 postos are all unknown. The discovery brief explicitly flags the cited wait-time KPIs (15/16/17 min) as illustrative and unvalidated by the client.","Without a baseline, the outcome cannot be measured (no before/after), and no metric block can be attached to this capability without inventing numbers. Relevant to `design`/`estimate` sizing and to any success-criteria language in the SOW."
G0306,Missing Requirement,"No decision rule is defined for when a case should be routed to another posto's idle capacity versus handled locally (e.g., distance/travel burden to the citizen if it means physical redirection, service-type match, case complexity threshold, SLA/wait-time trigger).","Needed to scope the routing logic itself; without it, ""routing"" is a label with no algorithm behind it. Also affects whether this is rules-based (Flow/Omni-Channel-style) or requires a more complex matching/queueing engine."
G0307,Missing Requirement,"The role of the 900 self-service totens in this epic is unspecified. Are totens a demand source that triggers routing (e.g., a totem detects it cannot resolve a case and needs to signal an idle human elsewhere), a capacity sink (idle totens absorb simple cases redirected from crowded counters), both, or neither — with ""totens"" in the epic description simply inherited from the corrected volumetria figure (244 postos + 900 totens) rather than a deliberate scope choice?","If totens have no real role in this capability, the epic description overstates scope inherited from a volumetria correction (see discovery brief) rather than a discovery finding. Needs a scope-narrowing confirmation or a concrete totem-routing requirement."
G0308,Missing Requirement,"The discovery brief's Open Questions already flag a Slack license sizing gap: 1,800 Slack Enterprise Plus licenses are validated for the Sala de Situação (digital-channel monitoring), not for attendant headcount across the 244 postos. E03's routing mechanic depends on idle attendants being reachable/visible inside Slack across the whole network — but if attendant headcount at the 244 postos exceeds validated licensing, the capability has no user base to route into.","Direct blocker specific to E03 (more so than to other Fase 1 epics, since routing requires network-wide attendant presence, not just single-posto usage). Needs headcount-vs-license reconciliation with the client before Fase 1 design is finalized."
G0309,Potential Risk,"Real-time capacity signaling across 244 physical postos assumes reliable network/device connectivity at each site. No discovery source addresses infrastructure state (connectivity, device availability, uptime) at the counter level across the network.","If connectivity is inconsistent at a meaningful share of postos, a real-time signal (whichever source is eventually named per G0301) may be unreliable exactly where it's most needed (busy/overloaded sites). Worth a discovery question before committing to a real-time (vs. near-real-time/batch) design."
G0310,Potential Risk,"A capacity/idle-time signal that surfaces which attendants are not currently busy is, functionally, individual performance/utilization monitoring data. Combined with the fact that no AI/data governance owner has been identified on the PRODESP side (per the discovery brief's Open Questions) and that current cross-posto coordination is informally described as happening ""fora da LGPD,"" there is a labor-relations and data-governance exposure in formalizing an idle-time signal without an agreed policy on how that data is used, retained, and who sees it.","Could surface as a stakeholder/union sensitivity during rollout even if technically compliant. Should be raised with the client's HR/governance stakeholders before broad deployment, not discovered during pilot."
G0311,Assumption,"The epic assumes routing is achievable without new headcount purely by better visibility/redistribution of existing idle time. This assumes idle time is (a) real and material in volume across the network, and (b) fungible — i.e., an idle attendant at Posto B can actually perform work originating from Posto A's case (same systems access, same service-type training/certification, same authority to act on another unit's citizen record).","If service-type specialization or system-access boundaries prevent cross-posto case handling, the epic's core premise (idle capacity is interchangeable) breaks down regardless of whether a capacity signal exists. Worth validating with an operations stakeholder, not just a technical one."
G0312,Missing Requirement,"Has any experience/service design discipline (UX research, service design, or content design) been engaged to define how a case-routing/reassignment moment is actually experienced by the citizen (if it involves any wait or hand-off) and by the receiving idle attendant (case handoff context, continuity of the citizen's history)? No such discipline signal appears in discovery for this epic.",Routing changes who serves the citizen and how continuity is preserved across a hand-off — a service-design/UX gap here risks a technically-working capability that citizens or attendants experience as confusing or worse than today's workaround (personal WhatsApp groups).
G0313,Missing Requirement,"Who on the PRODESP side owns governance for a cross-posto capacity/routing data model — i.e., a data steward or CoE function accountable for how idle-time/case-routing data is defined, who can see it, and how change requests to the routing logic are governed over time? The discovery brief already notes no AI-governance owner has been identified account-wide; this asks specifically whether a narrower data-stewardship owner exists for this capability's data.","Without a named owner, routing-logic changes and capacity-signal definitions risk drifting informally (mirroring today's ungoverned WhatsApp-group workaround this epic is meant to replace)."
G0314,Logical Gap,"E03 is scoped under Fase 1 (tactical, no heavy integration), yet the Fase 2 deck's ""Felipe"" idle-attendant mechanic — remote document validation triggered by pre-service WhatsApp outreach — depends on the same underlying idle-capacity concept and is explicitly Fase 2 (MuleSoft-integrated) scope per `decisions/0002`. It is not clear whether Fase 1's E03 is meant to build a standalone, lighter version of capacity visibility/routing that Fase 2 later extends, or whether E03's real design only becomes coherent once Fase 2's remote-validation mechanic exists.","Affects roadmap sequencing and whether E03 can be considered complete/valuable on its own in Fase 1, or is really a foundation piece whose payoff only lands in Fase 2. Relevant to `roadmap` and `design` phasing decisions."
G0201,Missing Requirement,"There is no defined specialist directory or routing logic mapping an escalation trigger (biometric failure, document mismatch, out-of-Canvas question) to the correct specialist domain (Detran, IIRGD, Instituto da Identidade, TI, etc.). The epic's own kb_sources tag this as '[assumption: a definir em design]'.","Without this, the huddle mechanism has no way to route a case to the right specialist channel — the attendant either guesses or the design must hard-code a manual channel-per-issue-type mapping before build. Blocks E02 design and any staffing/on-call conversation with the specialist-owning institutions."
G0202,Missing Requirement,"No specialist availability / on-call model is defined. The mechanic assumes a specialist is reachable in real time (""entra em huddle... resolvida em minutos""), but there is no confirmed staffing model, coverage hours, or fallback path for when no specialist answers the huddle request.","If a huddle goes unanswered, the citizen is back to 'volte depois' — the exact failure state the epic claims to fix. Needs a defined SLA + escalation-of-escalation path (e.g., queue, secondary specialist, or supervisor) before this can be presented as reliably faster than today's WhatsApp workaround."
G0203,Logical Gap,"The epic's core value claim is that this replaces WhatsApp coordination that is 'fora da LGPD — sem histórico, sem auditoria' with an auditable, institutional channel. The source material confirms the Slack ticket and channel are logged and auditable, but does not confirm whether the huddle itself (a live voice call) is recorded, transcribed, or otherwise retained. If the specialist's actual guidance is only spoken and not captured, the audit-trail claim holds for 'a request was made and a ticket exists' but not for 'what was actually said/advised.'","This is the load-bearing LGPD claim for the whole epic. If huddle audio isn't retained, the compliance narrative to PRODESP needs to be scoped down to 'auditable request trail,' not 'auditable coordination' — unless Slack huddle recording/transcription is explicitly designed in."
G0204,Source Conflict,"The source material flags that the Flex Credit cost of the ticket/huddle-opening step is 40 Flex if triggered by Agentforce classic, but jumps to a different (200 Flex) measure if the channel 'door' is a Slackbot instead — and the source itself says this ambiguity 'não é medição desta conta' (not yet resolved). It is unresolved which mechanism (Slackbot vs. Agentforce classic) actually opens the ticket/huddle in this design.","This is a build-time and cost-model fork, not just a documentation nuance: Slackbot and Agentforce-classic are different implementation paths with different Flex consumption. Needs resolution before `design`/`estimate` treat E02's automation mechanism as settled."
