Epic ID,Epic Name,Description,Confidence
E01,Consultas Financeiras Self-Service,"Habilitar clientes B2B (ministérios, entes públicos) a consultar valores em aberto, contratos e pagamentos no Protheus (ERP financeiro) via Slack + Agentforce, sem escalação N1 humana. Read-only, governança TI+Jurídico+DPO, rastreabilidade LGPD/TCU. Jornada J1 prioritária F1 Quick Wins.",Confirmed
E02,Autoatendimento Chamados Técnicos,"Permitir consulta de status de chamados no Pronto (ServiceNow) via Slack + Agentforce — quantos abertos, status crítico, SLA, histórico. Read-only F1, abertura assistida F2+. Reduz dependência fila N1 (~30k tickets/mês, 13-14k só INSS). Jornada J2 prioritária F1.",Confirmed
E03,Intelligence Executiva Mobile,"Executivos acessam briefing de projeto via agente conversacional antes de reunião urgente (ministérios, cliente crítico). Consulta CRM Totvs read-only via Slack — pipeline, contratos macro, forecast. Caso de uso: 'Maik convocado ao ministério, pergunta ao agente no caminho, chega pautado.' Jornada J5 prioritária F1.",Confirmed
E04,Knowledge Base Normativas RH,"Automatizar consulta a normativas internas (portal Conexão/SharePoint) via Agentforce KB: políticas RH, delegação de competência (alçadas de aprovação R$ 2M → quem assina?), compliance. Reduz acionamentos repetitivos ao time de Pessoas (-50% meta F1). Elimina risco de alçada incorreta em propostas/contratos (exposição TCU). Jornada J7 prioritária F1.",Confirmed
E05,Agendamento Automatizado,"Agendamento via comando de voz/texto no Slack integrado a Microsoft Teams calendário corporativo. Caso de uso: 'Pedro sai de reunião, manda áudio Agenda reunião amanhã com X, Y, Z, chega em casa tranquilo.' Elimina atrito cognitivo 'não esquece, não esquece'. Jornada J8 F1.",Confirmed
E06,Adoção CRM via Conversação,"Aumentar adoção de CRM Totvs comercial (~50 usuários ativos, ~30% do comercial) via interface conversacional Slack. Comercial atualiza pipeline, forecast, oportunidades por voz/texto, reduz atrito de login manual. Meta: +40% adoção via escrita controlada F2 Expansion. Jornada J4.",Confirmed
E07,Abertura de Chamados Assistida,Abertura de chamados no Pronto (ServiceNow) via voz ou texto estruturado no Slack. Escrita controlada F2 Expansion (F1 read-only). Clientes externos + colaboradores internos. Reduz fricção ofício/reunião para abrir ticket. Jornada J3.,Confirmed
E08,Gestão de Demandas Evolutivas,"Consulta e criação de demandas evolutivas no Clarity (Broadcom) via Slack + Agentforce. Read-only F1, escrita F2+. ~4.500 demandas ativas. Decisão arquitetural pendente F2: se Salesforce Service Cloud vira sistema de origem de demandas, Clarity vira legado de consulta. Jornada J6 F3 Proactive.",Assumed
E09,Intelligence Preditiva e Recomendações,"Análise preditiva de SLA (J9) + recomendações comerciais (J10) via Data Cloud + Agentforce. Alertas proativos de risco de SLA breach no Pronto, sugestões de próximas ações comerciais baseadas em pipeline histórico CRM. F3 Proactive. Jornadas J9 e J10.",Assumed
E10,"Governança, Compliance e Change Management","Pilar cross-cutting: (1) MuleSoft/MCP camada de integração segura sobre legados (Pronto, Clarity, Protheus, CRM Totvs, Conexão, Teams) com rastreabilidade auditável LGPD/TCU; (2) Governança TI+Jurídico+DPO sobre Protheus (dados financeiros sensíveis, autorização perfil de acesso por usuário); (3) Change Management estruturado — treinamento formal por persona (clientes B2B, executivos, comercial, N1/N2), executive mandate (Saulo), capacitação early adopters (20-50 piloto), monitoramento KPIs adoção (>60% uso semanal); (4) Arquitetura reutilizável Data Ágil + Serviço na Ponta (economia de escopo). Prioridades estratégicas #2, #3, #4 do strategy.json.",Confirmed
