Role ID,Role,Seniority,Location,Count,Side,Phases Active,Allocation,Allocation by Phase,Justification,Rationale,Comments,Suggested Count (opt-in),Count Source,Multi-disciplinary Note
R01,Solution Architect,senior,onshore,1,ps,0-4,full,,Dono do design ponta a ponta dos três portais; dobra segurança/perfis/sharing na escala MVP (funde SA + arquitetura de segurança). Onshore — acoplamento com sistemas vivos e SMEs do BV.,Núcleo contínuo transversal aos três portais.,,,,
R02,Technical Architect,senior,onshore,1,ps,1-2,full,,TA/Integração dedicado (decisão SSSL): caminho crítico E06 MuleSoft API-led (XL) + overhead de arquitetura G0610. Onshore — iteração acoplada ao timezone dos sistemas vivos e ao contrato de borda Apigee.,Caminho crítico da camada de integração.,,,,
R03,Developer,regular,offshore,1,ps,1-2,full,,"Builder MuleSoft (decisão SSSL): build do E06 — XAPIs/SAPIs, OAS, batch de ETL, testes E2E. Offshore, volume de build dirigido pelo TA.",Build da camada MuleSoft nas Fases 1–2.,,,,
R04,Developer,regular,offshore,2,ps,2-4,full,,"Pod de build Experience Cloud que escala com volume nos três portais: config + custom (render OPA em HTML e Wizard no E01, LWC no E02/E03, automação de sharing). Offshore, escalável ao volume.",Pod de build escalável dos três portais.,,,,
R05,QA,regular,onshore,1,ps,2-4,full,,1 QA full-program constante (decisão SSSL): não-regressão nos três portais em produção viva + teste do fluxo de aprovação OPA + hardening de serviços financeiros. Onshore pela coordenação de release com o BV.,QA constante em produção viva regulada.,,,,
R06,Project Manager,senior,onshore,1,ps,0-4,full,,"PM/EM transversal às 5 fases: coordenação, alinhamento com o BV, e coordenação de release/UAT que o BV conduz. Onshore pela cadência com o cliente.",Coordenação transversal do programa.,,,,
C01,Product Owner,senior,onshore,1,client,0-4,full,,"Decisor empoderado do BV que destrava a Fase 0 (licença R1, IdP) e prioriza escopo. BV confirmou disponível — insumo forte de prontidão.",Dono de decisão do lado BV.,,,,
C02,SME,senior,onshore,1,client,1-4,half,,"SMEs por portal (Governança, Parceiros externo/interno) para regras de negócio, personas e validação de contrato. BV confirmou disponível.",Conhecimento de negócio por portal.,,,,
C03,Data Steward,regular,onshore,1,client,2,half,,"Steward dos catálogos legados para a migração E05 (fonte, volume, qualidade, de-para). BV confirmou disponível; range driver do prazo.",Qualidade/fonte dos dados legados da migração.,,,,
C04,Client IT / Platform,senior,onshore,1,client,0-2,half,,"TI/plataforma do BV para integração E06 (Anypoint, Apigee, ServiceNow/Jira/OneTrust/PortalTech) e federação de IdP. BV confirmou disponível.",Habilitação da integração e do IdP.,,,,
C05,UAT Capacity,regular,onshore,1,client,2-4,half,,Capacidade de UAT do BV — o BV é dono de UAT e release. BV confirmou disponível.,BV conduz UAT e release.,,,,
C06,Executive Sponsor,senior,onshore,1,client,0-4,quarter,,Sponsor executivo do BV para aquisição de licença (R1) e negociação da limitação do Anypoint (R2). BV confirmou disponível.,Patrocínio e destrave contratual.,,,,
