ID,Title,Epic ID,Phase,Priority,Confidence,Surface,Outcome Summary,Has Metric,Open Question Count,Build Target Present,Internal Dep Count,External Dep Count,Requirement Count,Artifact Count
INT-001,Contract-first mock harness for external systems (mock→real governance),E05,1,,Confirmed,integration,"Every external system the Novo PAT marketplace depends on is reachable through a versioned, contract-first mock behind a stable System API, so build proceeds before any real Swagger exists and swaps to the real endpoint without rework.",no,2,yes,0,1,0,2
INT-002,CPF de-tokenization / identity-resolution service on-premise,E05,1,,Confirmed,integration,"The Salesforce core references workers and establishments by non-sensitive token; nominal/CPF data is resolved at runtime, only when authorized, inside the Dataprev sovereign perimeter and never persisted in the Salesforce cloud.",no,1,yes,0,2,0,2
INT-003,External-caller authentication & rate-limited token validation gateway,E05,1,,Confirmed,security,"External callers (facilitadoras, adquirente) authenticate by CNPJ via client-credentials flow against a scope-restricted connected app; tokens are validated with rate limiting and caching before any integration endpoint runs.",no,1,yes,0,1,0,1
INT-004,Federal-source read & validation System APIs (mock-first),E05,1,,Assumed,integration,"The platform validates a beneficiária's/facilitadora's regular standing and reads required reference data from federal sources (Novo PAT regularity, GOV.BR/Geride, eSocial, SDC) through System APIs, running on mocks now and cutting over to real endpoints when contracts land.",no,1,yes,0,2,0,1
INT-005,INIS PJ / Kinis PJ termo-de-aceite data ingest,E05,1,,Assumed,integration,"The platform ingests the acceptance-term data originated in INIS PJ/Kinis PJ — worker counts by salary band and matriz/filial structure — as the source of the beneficiária's termo de aceite, referenced by non-sensitive identifier in the core.",no,1,yes,0,1,0,1
INT-006,"Facilitadora standard contract: Quote hand-off, processed-return, open-demand pull endpoint",E05,1,,Assumed,integration,"Every one of the ~600–700 facilitadoras integrates through one standard API contract: it receives Quotes, returns the processed result plus value, and can pull the open demands in the current vigência — a certifiable single contract, not a bespoke connector per facilitadora.",no,2,yes,0,1,0,1
INT-007,Adquirente credenciamento-check API & transaction-monitoring ingest,E05,1,,Assumed,integration,"An adquirente can query an establishment's accreditation status before processing a transaction, and sends all transactions into the platform for monitoring — the a-posteriori visibility feed for the MTE.",no,1,yes,0,1,0,1
INT-008,Scheduled incremental bank-movement reconciliation feed (gateway → CRM),E05,1,,Assumed,integration,"On a MuleSoft schedule, the platform pulls the registered boleto and the incremental bank movements returned by the gateway/banco custódia and lands them in the CRM so the split boletagem can be matched to what was actually paid.",no,2,yes,0,1,0,1
INT-009,Modelo de dados de referências tokenizadas — CPF e dados sensíveis nunca persistem na org,E08,1,,Assumed,data-model,"Os objetos do PAT (cotação, proposta, contrato, folha, beneficiária, estabelecimento) referenciam pessoas e estabelecimentos por um identificador não-sensível; nenhum CPF ou dado pessoal sensível é gravado em campo, anexo, histórico ou log da org Salesforce.",no,1,yes,0,1,0,1
INT-010,Contrato de de-tokenização em runtime via MuleSoft on-premise,E08,1,,Assumed,data-model,"Quando um usuário autorizado precisa ver o dado nominal de uma beneficiária/estabelecimento, a org resolve o identificador tokenizado em runtime por uma chamada ao MuleSoft on-premise, que de-tokeniza no perímetro soberano Dataprev — sem que o dado resolvido seja gravado na org.",no,1,yes,0,1,0,2
INT-011,Trilha de auditoria imutável de acesso a dado sensível,E08,1,,Assumed,security,"Todo acesso a dado sensível (resolução de identificador, leitura de campo-fronteira, ação sobre registro financeiro) gera um registro de trilha imutável — quem, o quê, quando — que sustenta escrutínio de TCU/CGU/ANPD e não pode ser alterado nem apagado por administrador.",no,1,yes,0,0,0,1
INT-012,"Mascaramento de CPF em logs, depuração e mensagens de erro",E08,1,,Assumed,security,"CPF e dados pessoais sensíveis nunca aparecem em claro em logs de sistema, logs de depuração, mensagens de erro, notificações ou telas de diagnóstico — são mascarados ou substituídos pela referência tokenizada em toda saída observável.",no,0,yes,0,0,0,0
INT-013,Modelo de isolamento e acesso de menor privilégio na org dedicada,E08,1,,Assumed,security,"Dentro da instância dedicada e apartada do MTE/PAT, o acesso a dado sensível e a operações financeiras é concedido por menor privilégio via permission sets e modelo de compartilhamento, de modo que só perfis autorizados resolvem dado nominal e nenhum administrador de outro ambiente Dataprev enxerga estes dados.",no,2,yes,0,1,0,2
INT-014,Autenticação gov.br via OpenID Connect no Experience Cloud,E01,1,,Assumed,security,"Uma representante de uma empresa beneficiária entra no portal do PAT usando sua conta gov.br, sem senha própria da plataforma — a identidade gov.br é a única porta de entrada.",no,2,yes,2,1,0,2
INT-015,Seleção 'representar empresa' dirigida por procuração,E01,1,,Assumed,experience-cloud,"Após o login, a representante vê apenas os CNPJs que sua procuração digital a autoriza a operar, escolhe uma empresa (Matriz ou Filial) e passa a navegar o portal naquele contexto — podendo trocar de empresa pelo menu superior.",no,3,yes,2,0,0,2
INT-016,Validação de vínculo CPF↔CNPJ via Geride,E01,1,,Assumed,automation,A lista de empresas que a representante pode operar reflete os vínculos válidos e ativos apurados na fonte oficial em tempo de acesso — vínculo revogado ou empresa irregular não aparece nem é operável.,no,1,yes,2,1,0,2
INT-017,Controle de acesso e navegação do portal por papel,E01,1,,Assumed,security,Cada tipo de usuário vê e opera somente o que seu papel permite — a representante da beneficiária navega cotação/folha da(s) empresa(s) que representa; o estabelecimento vê seu próprio escopo; o administrador do MTE tem sua visão de gestão — sem cruzar dados entre empresas.,no,2,yes,2,0,0,2
INT-018,Sessão e logout federado gov.br,E01,1,,Assumed,experience-cloud,"A sessão do portal tem começo e fim claros: ao sair, a representante encerra a sessão do Experience Cloud e o vínculo com a identidade gov.br, sem deixar contexto de empresa aberto para um próximo acesso indevido.",no,1,yes,2,0,0,1
INT-019,Publicação da demanda como Opportunity nativa (leilão reverso),E02,2,,Confirmed,experience-cloud,"A beneficiária registra sua demanda de leilão reverso como uma Opportunity nativa do Sales Cloud, com todos os parâmetros que as facilitadoras precisam para cotar.",no,2,yes,2,0,0,1
INT-020,Recepção de Quotes das facilitadoras via API dentro da vigência,E02,2,,Confirmed,automation,"N facilitadoras submetem propostas como Quotes nativas associadas à Opportunity aberta, exclusivamente via API, sem UI nem licença de portal — a equidade é por construção.",no,1,yes,2,0,0,1
