Lane,Rate Basis,Role,Rate,Currency,Validated By,Validated At,Indicative Low,Indicative High,Duration Weeks Range,Effort Basis,Disclaimer Class,Approved
augmented,per-resource-hourly,,,BRL,user,2026-09-24,3195105.0,7241958.0,15-34,"10 papéis PS (R01-R10) do lane Aumentada — mesmo roster do lane Tradicional (data/resource-plan.json), ritmo acelerado por tooling de IA, sem redução de headcount",input-derived,yes
augmented,per-resource-hourly,,,BRL,user,2026-09-24,3195105.0,7241958.0,15-34,"10 papéis PS (R01-R10) do lane Aumentada — mesmo roster do lane Tradicional (data/resource-plan.json), ritmo acelerado por tooling de IA, sem redução de headcount",input-derived,yes
augmented,per-resource-hourly,,,BRL,user,2026-09-24,3195105.0,7241958.0,15-34,"10 papéis PS (R01-R10) do lane Aumentada — mesmo roster do lane Tradicional (data/resource-plan.json), ritmo acelerado por tooling de IA, sem redução de headcount",input-derived,yes
augmented,per-resource-hourly,,,BRL,user,2026-09-24,3195105.0,7241958.0,15-34,"10 papéis PS (R01-R10) do lane Aumentada — mesmo roster do lane Tradicional (data/resource-plan.json), ritmo acelerado por tooling de IA, sem redução de headcount",input-derived,yes
augmented,per-resource-hourly,,,BRL,user,2026-09-24,3195105.0,7241958.0,15-34,"10 papéis PS (R01-R10) do lane Aumentada — mesmo roster do lane Tradicional (data/resource-plan.json), ritmo acelerado por tooling de IA, sem redução de headcount",input-derived,yes
augmented,per-resource-hourly,,,BRL,user,2026-09-24,3195105.0,7241958.0,15-34,"10 papéis PS (R01-R10) do lane Aumentada — mesmo roster do lane Tradicional (data/resource-plan.json), ritmo acelerado por tooling de IA, sem redução de headcount",input-derived,yes
augmented,per-resource-hourly,,,BRL,user,2026-09-24,3195105.0,7241958.0,15-34,"10 papéis PS (R01-R10) do lane Aumentada — mesmo roster do lane Tradicional (data/resource-plan.json), ritmo acelerado por tooling de IA, sem redução de headcount",input-derived,yes
augmented,per-resource-hourly,,,BRL,user,2026-09-24,3195105.0,7241958.0,15-34,"10 papéis PS (R01-R10) do lane Aumentada — mesmo roster do lane Tradicional (data/resource-plan.json), ritmo acelerado por tooling de IA, sem redução de headcount",input-derived,yes
augmented,per-resource-hourly,,,BRL,user,2026-09-24,3195105.0,7241958.0,15-34,"10 papéis PS (R01-R10) do lane Aumentada — mesmo roster do lane Tradicional (data/resource-plan.json), ritmo acelerado por tooling de IA, sem redução de headcount",input-derived,yes
augmented,per-resource-hourly,,,BRL,user,2026-09-24,3195105.0,7241958.0,15-34,"10 papéis PS (R01-R10) do lane Aumentada — mesmo roster do lane Tradicional (data/resource-plan.json), ritmo acelerado por tooling de IA, sem redução de headcount",input-derived,yes
