Section,Name,Task-Level Band,Realized Band,Driving / Amplified,Human-Only / Evidence,Sources,Narrative
Headline,Blended project-level,~30-45%,~10-18%,,Assumed,[1]; [3]; [4]; [7]; [13],"task-level (~30-45%) × fator de realização (0.30-0.40), antes da modulação por readiness. Banda augmented — ferramental de IA, modelo operacional inalterado."
Realization Factor,0.30-0.40,,,"Governo federal regulado (LGPD Art. 11, TCU/CGU/ANPD); Integração pesada sem contratos de API (E05, risco #1); Build custom significativo (E02 leilão reverso); Org greenfield + mock-first + configurar-antes-de-customizar compensam parcialmente",,,Straddle entre a linha regulada/integração-legada pesada (0.25-0.35) e config+custom misto (0.35-0.45): governo regulado + ausência total de contratos de API puxa para o piso; org Salesforce greenfield (sem dívida de código legado) + mock-first + princípio 'configurar antes de customizar' (strategy.json) nudge levemente para cima.
Readiness Signal,AI tooling posture,,,score 0/2,Dataprev é empresa pública federal de TI; nenhuma evidência no discovery de ferramentas de IA aprovadas (Copilot/Claude em IDE) ou postura de adoção. Postura legal/segurança tende a ser restritiva. Assumed — pergunta de esclarecimento.,,
Readiness Signal,Delivery velocity / speed bias,,,score 1/2,"Data-alvo agressiva (homologação set/2026, produção 15/nov, ~15-16 sem abaixo do piso de 18) sinaliza viés de velocidade; MAS camadas de aprovação gov, incerteza jurídica (ADI no STF) e os blockers da Etapa 0 temperam. Misto.",,
Readiness Signal,Data & environment hygiene,,,score 1/2,"Org Salesforce greenfield (sem dívida legada no lado SF), MAS paisagem de integração externa fragmentada — sem contratos/Swaggers de API, ~600-700 facilitadoras em silos, volume de carga desconhecido (G0701). Lado SF limpo, lado integração/dados bagunçado.",,
Readiness Signal,Legal / security / compliance posture,,,score 0/2,"Pesada — LGPD Art. 11 (dado sensível), auditoria TCU/CGU/ANPD, residência híbrida (CPF não persiste, ADR 0001), ADI no STF. Máximo de restrição para código/dado proprietário em prompts; sem política de manuseio de dados por IA evidenciada.",,
Readiness Scenario,(current) Low readiness,,~8-12%,score range 0-2,Aprovar Copilot/Claude para uso em IDE dentro da fronteira de segurança; Publicar política de manuseio de dados por IA (o que pode/não pode ir a prompt sob LGPD),,"Estado de hoje. Sem ferramental de IA aprovado e com gates de compliance pesados, o ganho fica no piso — o modelo ajuda a rascunhar código/testes/docs, mas o ambiente não deixa capturar mais."
Readiness Scenario,Mid readiness,,~12-16%,score range 3-5,Ambientes/dados de teste representativos prontos cedo; Contratos de API resolvidos na Etapa 0 (reduz o mock-then-rework),,"Com ferramental aprovado e uma política de dados clara, o ganho sobe para o meio da banda — o time captura o ganho documental e de testes de forma consistente, o custom pesado continua limitado pelo review."
Readiness Scenario,High readiness,,~16-22%,score range 6-8,,,"Condições favorecem o topo da banda augmented — ferramental aprovado, dados limpos e ciclos rápidos. Ainda é a banda augmented; ultrapassar isso exige o modelo operacional AI-native (banda condicional)."
Category,Technical Engineering & QA,~25-40%,~8-16%,"Create Code (realistic enterprise / legacy); Analyze Code & Fix Defects; Write Test Classes; Generate Test Data | epics: E05, E02, E03",,[1]; [4],"O mock-first de E05 é favorável à IA — gerar stubs/mocks aproxima-se de greenfield, onde o ganho é maior. Mas o leilão reverso custom (E02) e a de-tokenização em runtime (E08) são exatamente 'fora da fronteira irregular': código bespoke complexo onde o esforço de review consome o ganho bruto."
Category,Analysis & Design,~30-50%,~10-18%,"Write User Stories; Generation of Analysis Models; Discovery Prep | epics: E08, E02, E01",,[2]; [11],"A IA acelera o rascunho de modelos de análise e histórias (fronteira de residência de E08, regras do leilão de E02, jornada do portal E01). O refinamento é humano-dependente: ratificar a fronteira campo-a-campo com Jair Bogo e alinhar as regras do leilão à Lei 14.133 não é trabalho que o modelo fecha."
Category,Documentation & Knowledge Management,~35-50%,~12-20%,"Generate Documents; Meeting Notes; Knowledge Transfer | epics: E08, E09, E01",,[7]; [11],"É onde os ganhos mais defensáveis vivem: um programa regulado gera documentação pesada (DFD LGPD, docs de trilha de auditoria TCU/CGU, ADR, materiais de capacitação de E09) que a IA rascunha bem. O ganho é real porque o volume é alto e a estrutura é repetível."
Category,Project Management & Operations,~20-30%,~8-12%,"Status Reports; Search & Retrieval; Coordination | epics: E09, E05",,[7]; [1]; [5],"A categoria de menor ganho. A IA sumariza status e recupera informação, mas o núcleo — alinhamento entre MTE × Dataprev × 600-700 facilitadoras, resolução dos blockers da Etapa 0, coordenação da virada mock→real de E05 — é trabalho humano que não se move."
Human Barrier,Project Pulse Reports,,~0%,,Trabalho de construção de confiança que a IA sumariza mas não facilita.,,
Human Barrier,Stakeholder Alignment,,~0%,,Enorme aqui: alinhamento entre MTE (governo) × Dataprev × 600-700 facilitadoras. A IA rascunha posições; as pessoas decidem.,,
Human Barrier,Conflict Resolution,,~0%,,Julgamento humano.,,
Human Barrier,Ratificação da fronteira de residência (G0801),,~0%,,Decisão de arquitetura humana com Jair Bogo — o que é token vs. o que pode persistir. Governa o data model; não é rascunhável por IA.,,
Human Barrier,Definição das regras do leilão / Lei 14.133 (G0202/G0203),,~0%,,"Sign-off legal/regulatório humano sobre critérios de seleção e desempate; a IA propõe minutas, o órgão decide.",,
Human Barrier,Resolução da incerteza jurídica (ADI no STF),,~0%,,Fora do controle de qualquer equipe de entrega — depende de decisão judicial.,,
