Section,Name,Task-Level Band,Realized Band,Driving / Amplified,Human-Only / Evidence,Sources,Narrative
Headline,Blended project-level,~30-45%,~10-18%,,Assumed,[1]; [3]; [5]; [8],"task-level (~30-45%) × fator de realização (0.30-0.40), antes da modulação por prontidão."
Realization Factor,0.30-0.40,,,"Instituição financeira regulada; Brownfield em produção viva (três portais); Integração legada pesada (MuleSoft/Apigee, ServiceNow, OneTrust, PortalTech); Mix de config padrão + dev customizado",,,"Linha regulado + legado-pesado do benchmarks.md: banco regulado (LGPD/consentimento OneTrust), brownfield sobre produção viva, integração legada intensa (MuleSoft/Apigee → ServiceNow, PortalTech, Jira)."
Readiness Signal,AI tooling posture,,,score 0/2,Sem evidência no discovery de ferramentas de IA de codificação aprovadas; banco regulado tende a postura restritiva por padrão. Unknown/Assumed — pergunta de esclarecimento.,,
Readiness Signal,Delivery velocity / speed bias,,,score 1/2,Remediação de débito técnico brownfield em produção viva; sem mandato explícito de velocidade no discovery. Moderado.,,
Readiness Signal,Data & environment hygiene,,,score 1/2,"Plataforma, DevOps e versionamento já existem (E04); porém fonte, volume e qualidade dos dados legados da migração (E05) seguem em aberto — G0503/G0504.",,
Readiness Signal,Legal / security / compliance posture,,,score 0/2,"Instituição financeira regulada; LGPD, consentimento OneTrust, segurança pesada e fluxo de aprovação por OPA — arrasto real sobre a velocidade realizada.",,
Readiness Scenario,(current) Low readiness,,~8-12%,score range 0-2,Aprovar IA em IDE (Copilot/Claude) para o time de entrega; Publicar política de manuseio de dados por IA,,"Ganhos modestos enquanto tooling e política de IA não avançarem — pelos sinais, Baixa é o estado de hoje."
Readiness Scenario,Mid readiness,,~12-16%,score range 3-5,Mandato AI-first na entrega; Pré-liberação de compliance para os fluxos de aprovação regulados,,IA em IDE aprovada e higiene de ambiente resolvida elevam o meio da faixa.
Readiness Scenario,High readiness,,~16-22%,score range 6-8,,,Postura AI-first e compliance pré-liberado capturam o topo da faixa; um cliente mais rápido captura mais.
Category,Technical Engineering & QA,~30-45%,~10-18%,"Create Code (realistic enterprise / legacy); Analyze Code & Fix Defects; Generate Test Data | epics: E06, E01, E02",,[1]; [3]; [5],"É onde os ganhos concentram e onde vive o maior imposto de IA: os builds customizados do E01 (render OPA em HTML, Wizard de geração de API) e os fluxos MuleSoft do E06 rendem menos que o boilerplate de config do E04. A banda é ampla justamente por essa mistura."
Category,Analysis & Design,~25-40%,~9-15%,"Design & Architecture; Model Data | epics: E01, E06, E04",,[3]; [8],"A IA acelera o rascunho do modelo de dados de catálogos (E01) e o desenho dos contratos de XAPI/SAPI (E06), mas a decisão de arquitetura de integração — sequenciada pela camada API-led — permanece trabalho humano de julgamento."
Category,Documentation & Knowledge Management,~40-55%,~13-20%,"Write Documentation; Generate API Contracts / Specs | epics: E06, E01",,[2]; [3],"Contratos de XAPI/SAPI, OAS e documentação técnica dos portais são o terreno de maior alavanca — geração e manutenção de spec é onde a IA mais rende neste projeto."
Category,Project Management & Operations,~20-35%,~8-13%,"Status Reporting; Meeting Summaries | epics: E01, E06",,[6]; [7],"Cinco fases e coordenação transversal em produção viva geram trabalho de reporte que a IA resume bem, mas o pulso de programa e o alinhamento entre BV e PS seguem humanos."
Human Barrier,Project Pulse Reports,,~0%,,Construção de confiança que a IA resume mas não conduz.,,
Human Barrier,Stakeholder Alignment,,~0%,,"Negociação humano-a-humano; a IA rascunha posições, as pessoas decidem.",,
Human Barrier,Conflict Resolution,,~0%,,Julgamento humano.,,
Human Barrier,Sign-off regulatório (LGPD/BACEN),,~0%,,Aprovação de compliance de banco; a IA não assume o risco regulatório.,,
Human Barrier,Decisão de IdP e licenciamento (bloqueadores da Fase 0),,~0%,,Decisões de contratação e identidade externas ao time de build.,,
Human Barrier,Negociação da limitação do Anypoint (R2),,~0%,,Negociação de fornecedor/contrato — trabalho humano.,,
