Section,Name,Task-Level Band,Realized Band,Driving / Amplified,Human-Only / Evidence,Sources,Narrative
Headline,Blended project-level,~30-45%,~10-18%,,Assumed,[1]; [2]; [4]; [7],"task-level (~30-45%) × fator de realização (0,30-0,40), antes da modulação de readiness."
Realization Factor,0.30-0.40,,,"Duas integrações legadas com payload/API não confirmado (SIGOR, SIGEO); Setor público regulado — trilha de auditoria e LGPD/DPIA ainda não resolvidos (G0305, G0211); Todos os 5 épicos com confidence Assumed — amplia a incerteza de esforço",,,"Perfil misto entre 'mixed config + custom dev, standard enterprise client' (0.35-0.45) e 'regulated industry, heavy legacy integration' (0.25-0.35) — órgão público com trilha de auditoria em aberto (G0305) e duas integrações legadas sem spec confirmado (SIGOR/SIGEO) puxam para a ponta baixa."
Readiness Signal,AI tooling posture,,,score 1/2,"Nenhuma menção a política de uso de IA/ferramentas aprovadas na discovery do DER/PRODESP — sinal ausente, tratado como Unknown.",,
Readiness Signal,Delivery velocity / speed bias,,,score 0/2,"Cadeia de decisão DER→PRODESP→Stefanini; Opportunity em Stage 02-Scoping; ciclo formal de contratação pública — perfil de aprovação multi-camada, não de entrega rápida.",,
Readiness Signal,Data & environment hygiene,,,score 1/2,"Org Salesforce greenfield (sem legado interno), mas duas integrações legadas (SIGOR, SIGEO) com payload/API ainda não confirmado pela PRODESP — ambiente misto.",,
Readiness Signal,Legal / security / compliance posture,,,score 0/2,Nenhuma discussão formal de LGPD/DPIA registrada (Discovery Brief item #10); trilha de auditoria de overrides manuais permanece gap aberto bloqueador (G0305).,,
Readiness Scenario,(current) Low readiness,,~7-11%,score range 0-2,Resolver LGPD/DPIA e a trilha de auditoria de overrides (G0305); Definir política de uso de IA para dados sensíveis do canal de emergência; Reduzir camadas de aprovação entre DER/PRODESP/Stefanini para decisões técnicas,,Estado atual do projeto — ganhos ficam modestos até a cadeia de aprovação DER→PRODESP→Stefanini amadurecer e a postura de dados sensíveis (LGPD/auditoria) ser resolvida.
Readiness Scenario,Mid readiness,,~10-16%,score range 3-5,Aprovar um conjunto restrito de ferramentas de IA para uso em IDE/documentação; Fechar a especificação SIGOR/SIGEO para reduzir a incerteza de integração,,"Faixa base do projeto se a cadência de decisão e a postura de dados melhorarem moderadamente, sem mudança estrutural na governança pública."
Readiness Scenario,High readiness,,~18-22%,score range 6-8,,,"Condições favorecem a ponta alta se o órgão adotar cadência ágil de decisão e um ambiente de dados/integração maduro — improvável no perfil atual de contratação pública, mas não descartado."
Category,Technical Engineering & QA,~25-40%,~8-16%,"Create Code (realistic enterprise / legacy); Analyze Code & Fix Defects; Write Test Classes | epics: E02, E03, E04",,[1]; [4]; [5],"Na integração dupla SIGOR/SIGEO (E02) e no motor de despacho/escalonamento (E03), a IA acelera geração de código e dados de teste, mas a revisão sobre duas specs de payload legado ainda não confirmadas limita o ganho realizado [1]."
Category,Analysis & Design,~25-40%,~8-16%,"Discovery Preparation; Generation of Analysis Models; Write User Stories & Epics | epics: E01, E03",,[2],"Rascunhar os fluxos de triagem do Agentforce (E01) e a lógica de escalonamento N/N-10 (E03) comprime bem, mas o refinamento com stakeholders sobre o valor de N e o escopo da trilha de auditoria (G0305) permanece 100% humano [2]."
Category,Documentation & Knowledge Management,~35-50%,~11-20%,"Generate Documents; Knowledge Transfer | epics: E02, E05",,[7],"As especificações de payload de integração (E02) e a documentação de segurança do token de guest (E05) compressam bem na fase de rascunho, mas a cadeia de aprovação DER/PRODESP/Stefanini mantém a revisão final em ritmo humano [7]."
Category,Project Management & Operations,~25-35%,~8-14%,"Project Status Reports; Coordination Meeting Time | epics: E02, E03",,[7],"Um programa de 5 fases cobrindo 14 CGRs e três organizações (DER, PRODESP, Stefanini) gera carga alta de coordenação; a IA rascunha status e notas de reunião, mas o alinhamento real sobre G0305/G0309 continua humano."
Human Barrier,Project Pulse Reports,,~0%,,"Trabalho de construção de confiança que a IA pode resumir, mas não conduzir.",,
Human Barrier,Stakeholder Alignment,,~0%,,"Negociação humano-a-humano; a IA rascunha posições, pessoas decidem.",,
Human Barrier,Conflict Resolution,,~0%,,Julgamento humano.,,
Human Barrier,"Resolução de gaps bloqueadores com DER/Stefanini (G0305, G0309, G0517)",,~0%,,"Exige decisão formal entre três organizações (DER, PRODESP, Stefanini) — a IA prepara a pauta, não decide.",,
