Role ID,Role,Seniority,Location,Count,Side,Phases Active,Allocation,Allocation by Phase,Justification,Rationale,Comments,Suggested Count (opt-in),Count Source,Multi-disciplinary Note
R01,Project / Program Manager,senior,onshore,1,ps,0-5,full,,"Relacionamento com cliente, governanca de gates e do plano. A coordenacao multi-fornecedor (SF/DSP/Sinqia/Evertec) com sign-off antes de cada pilar e o maior arrasto de cadencia do programa (efficiency: trabalho so-humano) e exige owner senior onshore, timezone-acoplado ao cliente e aos gates de aprovacao. 1 e suficiente: um programa, um patrocinador.",,"Lane comprometida = Aumentada (metodologia tradicional + tooling de IA, 2 squads), faixa 12-22 semanas da discovery. Programa: ~7.6-8.0 FTE media (10 pessoas nomeadas -> FTE abaixo do headcount por time-box e cauda fracionada). Detalhe das lanes em estimate-comparison.json.",,,
R02,Solution Architect,senior,onshore,1,ps,0-5,full,,"Dono do 'o que' e da barra de qualidade. Carrega a ratificacao do modelo lending nativo FSC (G0012, em REVISAR) e a reconciliacao dos conflitos de fonte na Fase 0 — decisao load-bearing que gate todo o sizing. Onshore por acoplamento com SMEs de credito e sign-off regulatorio (LGPD/antifraude). Absorve o desenho de experiencia (jornadas preservadas na migracao, UX net-new minima) — sem linha de Experience Design.",,,,,
R03,Technical Architect,senior,onshore,1,ps,0-5,full,,"Arquitetura tecnica: modelo de dados (habilitacao Person Accounts, irreversivel), desenho das 30 integracoes MuleSoft (reaponte lado Salesforce), estrategia de migracao/cutover in-place e governor limits. Onshore por acoplamento de integracao com o core (Sinqia) e as System APIs. Lidera a estrategia de ETL da Fase 5 (dobra o especialista de migracao de dados na propria linha).",,,,,
R04,Functional Consultant,regular,offshore,2,ps,1-4,full,,"Configuracao declarativa, analise de negocio e story authoring sobre objetos FSC (PCM/BRE/DecisionTable em E08; mapeamento Lead->LoanApplicant, CreditApplication->RLA nos pilares). 2 consultores = um por squad (Squad A: Fundacao+Entrada F1-F2; Squad B: Nucleo+Formalizacao F3-F4). Um senior onshore + um regular offshore na pratica (mix), time-boxed F1-F4 — saem antes da regressao/cutover. Contagem 2 e a capacidade das 2 squads recomendadas na discovery, nao inflacao.",,,,,
R05,Developer,senior,onshore,1,ps,1-5,full,,"Builder senior no caminho critico E07->E08->E10->E11 e no reaponte das 30 integracoes (E09, parallel track dentro da janela F2-F4). Refactor de callouts Apex, Platform Events de efetivacao (E05) e cutover irreversivel exigem present senior onshore, timezone-acoplado. Estende ate F5 para o cutover/hypercare.",,,,,
R06,Developer,regular,offshore,2,ps,1-5,full,,"Pod de build offshore para volume — E04 (XL, maior pilar), E02 (L, 11 integracoes), LWC/config dos pilares e conversao ETL na F5. 2 devs = capacidade das 2 squads; offshore como alavanca comercial (decisions/0011), com o dev senior onshore cobrindo o trabalho timezone-acoplado. Time-boxed F1-F5.",,,,,
R07,Quality Assurance,senior,onshore,1,ps,2-5,full,,"Estrategia e execucao de teste, com SURGE na F5: regressao in-place ampla (maior risco da migracao) + cutover irreversivel de Person Accounts num contexto FS regulado e setor publico. Rampa na F2, surge no hardening da F5. QA nao encolhe com IA (checagem independente); onshore pela evidencia auditavel de compliance.",,,,,
R08,Change & Adoption,regular,onshore,1,ps,4-5,quarter,4: quarter; 5: quarter,"Escopo de adocao fino — migracao in-place, mesmos usuarios, jornadas preservadas; o que muda e o backoffice (Central de Pendencias) e os runbooks de cutover/hypercare. Fracionado (quarter) F4-F5: treinamento do backoffice Julgamental e material de operacao. Nao e core full-time — dobra parcialmente no SA/PM se o cliente absorver a comunicacao interna.",,,,,
R09,Project / Program Manager,senior,onshore,1,client,0-5,half,,"Product Owner / decisor empoderado da Desenvolve SP — dono das decisoes de gate, da ratificacao Fase 0 (G0012) e do sign-off de escopo. LADO CLIENTE, nao staffado por PS. Sua ausencia/nao-empoderamento e exatamente o risco de qualificacao que mantem a lane AI-native condicional (decisor + cadencia diaria nao atendidos hoje).",,,,,
R10,Functional Consultant,senior,onshore,1,client,0-4,half,,"SME de negocio/credito da Desenvolve SP — valida regras de elegibilidade, enquadramento (BRE/PCM), jornadas PJ/PF e a fronteira P3<->P5. LADO CLIENTE. Sem esse SME disponivel, a Analise & Design perde a validacao humana que cap o ganho de IA (efficiency).",,,,,
R11,Technical Architect,senior,onshore,1,client,0-4,quarter,,"Owner de integracao do core banking (Sinqia) e das 30 System APIs — contratos/Swagger, write-back PUT/PATCH, estabilidade dos contratos. LADO CLIENTE (Sinqia/Evertec). 29/30 APIs sem Swagger (G0013) e o maior risco de cronograma (~+42% no teto do Parecer); sem esse owner, o reaponte E09 vira escopo adicional.",,,,,
