Role ID,Role,Seniority,Location,Count,Side,Phases Active,Allocation,Allocation by Phase,Justification,Rationale,Comments,Suggested Count (opt-in),Count Source,Multi-disciplinary Note
PS-01,Project / Program Manager,senior,onshore,1,ps,0-4,full,,"Relacionamento com DER/PRODESP/Stefanini, decisões de gate, governança de escopo através de 3 organizações — cadeia de decisão complexa exige presença onshore sênior contínua.",,,,,
PS-02,Solution Architect,senior,onshore,1,ps,0-4,full,,"Traduz o escopo de 5 épicos (Field Service + Agentforce Contact Center Enterprise + Service Cloud) em capacidades Salesforce; conduz a resolução de gaps bloqueadores da Fase 0 (G0305, G0309, G0524).",,,,,
PS-03,Technical Architect,senior,onshore,1,ps,1-4,full,,"Arquitetura das integrações SIGOR (dupla convivência) e SIGEO (callout síncrono), modelo de segurança/sharing, resolução técnica da trilha de auditoria (G0305) — caminho crítico de integração exige liderança técnica sênior sequencial.",,,,,
PS-04,Functional Consultant,senior,onshore,1,ps,0-2,full,,"Configuração crítica não-delegável: catálogo de 100+ Work Types, scheduling policy customizada para a regra N/N-10 — decisões de config que moldam o motor de despacho.",,,,,
PS-05,Functional Consultant,regular,offshore,1,ps,1-4,full,,"Volume de configuração declarativa (Work Type, sharing rules, painéis de gestores, Digital Engagement) escalando com os 4 épicos L do programa.",,,,,
PS-06,Developer,senior,onshore,1,ps,1-3,full,,"Build crítico das integrações SIGOR/SIGEO (E02) e do motor de despacho/escalonamento N/N-10 (E03) — caminho crítico do programa, exige presença sênior onshore.",,,,,
PS-07,Developer,regular,offshore,3,ps,1-4,full,,"Pod de build offshore escalando com 4 épicos L (canal digital/CTI E01, integração E02, dispatch E03, app mobile customizado E04 — E05 caiu para S nesta revisão, Appointment Assistant nativo sem build customizado) — volume de código customizado é o driver dominante de tamanho desses épicos.",,,,,
PS-08,Quality Assurance,senior,onshore,1,ps,1-4,full,,"Estratégia de teste e evidência de auditoria; surge na Fase 4 para UAT em escala estadual (298 viaturas, 1.152 operadores, 14 CGRs) em serviço de emergência — não pode ser um pod tokenizado dado o perfil regulado/safety-critical.",,,,,
PS-09,Quality Assurance,regular,offshore,2,ps,2-4,full,,"Execução de teste escalando com o volume de build dos 4 épicos L (canal digital/CTI, motor de despacho, app mobile, integrações SIGOR/SIGEO).",,,,,
PS-10,Change & Adoption,regular,onshore,1,ps,3-4,full,,"Workstream de Change Management/Scale-Operação Assistida explicitamente solicitado pelo DER (G0515) — até 2 meses de operação assistida e treinamento personalizado por persona, foco nos técnicos de campo das 14 UBAs.",,,,,
CL-01,Product Owner / Decision-maker,regular,onshore,1,client,0-4,half,,GAP: nenhum sponsor executivo nomeado identificado na discovery (Discovery Brief item #12) — a cadeia de decisão DER→PRODESP→Stefanini não tem hoje um dono único de decisão diária. Este é exatamente o sinal que mantém o gate de qualificação AI-native como 'conditional'.,,,,,
CL-02,Functional Consultant,regular,onshore,1,client,1-2,quarter,,"SME de Operações de Despacho (C2C) — valida regras de aderência, escalonamento N/N-10 e o cronômetro de alarme de 5min para E02/E03.",,,,,
CL-03,Functional Consultant,regular,onshore,1,client,2-3,quarter,,"SME de Operações de Campo (UBA) — valida as 3 travas de negócio e o fluxo do app mobile para E04, representando as 14 UBAs terceirizadas.",,,,,
CL-04,Change & Adoption,regular,onshore,1,client,"1,4",quarter,,"Data Steward do DER-SP — responsável por dados pessoais e de geolocalização (LGPD/DPIA, G0211/G0516) nos épicos E02 e E05; papel de governança, não de build.",,,,,
CL-05,Technical Architect,regular,onshore,1,client,0-1,quarter,,TI da PRODESP + coordenação com a Stefanini — fecha a especificação de payload/API do SIGOR e SIGEO (E02) e a natureza técnica do vendor de URA 'Instinct'.,,,,,
CL-06,Quality Assurance,regular,onshore,1,client,4,quarter,,"Amostra representativa de dispatchers do C2C e operadores de campo das 14 CGRs para o UAT estadual — não um headcount comprometido, um marcador de participação necessária.",,,,,
