Epic ID,Epic Name,Description,Confidence
E01,Async CSV Ingestion,"Implements the byte-offset cursor Queueable chain for importing Demanda CSV files (≤6M chars / 10k rows). Covers DemandaCsvWizardController (CPU guard, CRLF/UTF-8 normalization), DemandaCsvImportQueueable, Plm_Csv_Import_State__c (resumable cursor), and the LWC DemandaCsvWizard upload UI. Replaces the synchronous ingest path that overflows at scale.",Confirmed
E02,LLM Rule Compilation Engine,"Implements the LLM-driven compile path: PlmRuleSpecCompilerService calls the PLM_Rule_Compiler Einstein Prompt Template (via ConnectApi.EinsteinLLM, applicationName='PromptTemplateGenerationsInvocable') to compile DSL pt-BR rules into AST JSON (Plm_Rule_Spec__c). Includes PlmRuleSpecSchemaValidator, bulk/queueable invocables, drift detection via Source_Hash__c, and Track B Batchable mode (Compile_Mode__c).",Confirmed
E03,AST Rule Evaluation Engine,"Implements PlmRuleSpecEvaluator — pure-Apex deterministic AST walker evaluating compiled JSON specs at <50ms/record without LLM at runtime. Covers PlmRuleContextInvocable/Queueable (Id-cursor pagination), decision table lookups (PLM_RuleCatalog, PLM_FieldRuleMapper), verdict writes to Item_Demanda__c.Avaliacao_Regras_JSON__c and Demanda__c.Resumo_Avaliacao_JSON__c, and static Map cache (Platform Cache prohibited).",Confirmed
E04,"Observability, Resilience & DLQ","Cross-cutting reliability layer ensuring zero silent failures. Covers Platform Events (Plm_Compile_Chunk__e → Plm_Compile_Chunk_Log__c with SHA-256 idempotency token), Plm_Compile_Snapshot__c rollups, Dead Letter Queues (Plm_Compile_DLQ__c + Plm_Eval_DLQ__c), Database.Finalizer chain-death recovery, PlmZombieReaperService (5-min Schedulable), and Plm_Batch_Error_Event_TriggerHandler.",Confirmed
E05,AI Diagnostic Narrative,Implements the PLM_Diagnostico_Narrativa Einstein Prompt Template pipeline. PlmDiagnosticoNarrativaContextBuilder/Service/Queueable/Invocable assembles validation context per Demanda and invokes the Prompt Template to produce an HTML diagnostic narrative stored in Demanda__c.Diagnostico__c. Reduces analyst investigation time from hours to seconds.,Confirmed
E06,Agentforce PLM Admin Agent,"Builds and deploys Agentforce_PLM_Admin Employee Agent — compile-time governance surface. Configures 4 subagents (compile rule, recompile drifted rules, status check, bulk compile), Atlas reasoning engine, planner bundles, and GenAI plugin wiring. This is the primary mechanism for business-led, zero-deployment rule authoring.",Confirmed
E07,Agentforce PLM Ops Agent,"Builds and deploys Agentforce_PLM_Ops Employee Agent — runtime operations surface. Configures 6 subagents orchestrating the end-to-end import → evaluate → diagnose loop: CSV ingestion trigger, evaluation kickoff, diagnostic narrative generation, and correction feedback cycle. Provides Claro Ops with a natural-language interface to the full validation pipeline.",Confirmed
E08,UX & LWC Components,"Builds the admin and ops UI surface — plmProcessoHome (process overview), plmAvaliacaoPanel (evaluation results), plmRuleSpecsAdmin (rule catalog management) — plus FlexiPage layout, PLM App, and PLM_Rule_Specs_Admin tab. Includes DemandaCsvWizard LWC (upload experience; server-side logic in E01). No UX research in scope — Claro SME drives requirements.",Confirmed
E09,"Security, Access Model & Platform Configuration","Provisions the complete access and tunable configuration layer: Validacao_Engine_Access permset (FLS + CRUD for all PLM objects, excluding required/MD fields from fieldPermissions), async access permset, 5 Aux_*__mdt families (66 seed rows), Decision Tables (PLM_RuleCatalog, PLM_FieldRuleMapper), and runtime tunables (Plm_Tenant__mdt, Plm_Compile_Config__mdt).",Confirmed
E10,AI Governance & LGPD Compliance,"Validates and activates Einstein Trust Layer controls required for LGPD go-live: Zero-Data Retention Policy, Secure Data Retrieval/Grounding, Prompt Defense, Data Masking, Toxicity Scoring, and Audit trail for Brazil geo-routing. Engages Claro legal for data classification sign-off. Establishes rule lineage (Spec_Key__c + Source_Hash__c + Compile Snapshots) as the compliance audit trail for ANATEL Res. 680/2020.",Confirmed
