Section,Name,Task-Level Band,Realized Band,Driving / Amplified,Human-Only / Evidence,Sources,Narrative
Headline,Blended project-level,~30-45%,~11-17%,,Assumed,[1]; [4]; [5]; [8],"task-level (~30-45%) x fator de realizacao (0.30-0.40), antes da modulacao por prontidao."
Realization Factor,0.30-0.40,,,"FS regulado + setor publico — gates de revisao/auditoria multi-fornecedor obrigatorios; Migracao brownfield in-place — alto onus de revisao/verificacao (imposto de IA); 30 integracoes legadas, 29/30 sem contrato/Swagger — codigo fora da fronteira; Time misto de 2 squads, nao senior-only — algum ganho de config nativa FSC",,,Straddle entre a linha regulado+legado (0.25-0.35) e config-misto+custom (0.35-0.45): FS regulado + setor publico + 30 integracoes legadas puxa para baixo; time misto de 2 squads (nao senior-only) e configuracao nativa FSC (PCM/BRE declarativo) segura o piso.
Readiness Signal,AI tooling posture,,,score 1/2,"Sem evidencia de politica de ferramentas de IA do cliente na discovery. A entrega e AI-augmentada do lado Salesforce, mas a postura do cliente e desconhecida — marcado Unknown (score=1) e vira pergunta de clarificacao (politica de dados IA compativel com LGPD).",,
Readiness Signal,Delivery velocity / speed bias,,,score 1/2,"Data fixa agressiva (30/11/2026) e recomendacao de 2 squads / Via Aumentada indicam vies de velocidade; porem aprovacao multi-fornecedor (SF/DSP/Sinqia/Evertec) antes de cada pilar e dependencia de SLA de 24h entre partes sao arrastos de cadencia (premissas de discovery). Cadencia enterprise padrao, nao acelerada.",,
Readiness Signal,Data & environment hygiene,,,score 1/2,"Org unico brownfield com sandbox full-copy disponivel para ensaio (F7), disciplina de ambiente existe; porem 29/30 APIs sem Swagger/contrato (G0013) e volume de dados de producao nao confirmado (G1004, contagens sao do sandbox HML) — risco de dado sujo/fora da fronteira.",,
Readiness Signal,Legal / security / compliance posture,,,score 0/2,"FS regulado + setor publico: LGPD, antifraude/biometria (BioValid), integracoes Serpro/Serasa; gates de sign-off multi-fornecedor antes de cada pilar; sem politica de tratamento de dados por IA. Gates de revisao pesados.",,
Readiness Scenario,Low readiness,,~9-13%,score range 0-2,Publicar politica de dados IA compativel com LGPD para IA-no-IDE sobre codigo do cliente; Aprovar ferramentas de codificacao IA para o time de entrega,,"Enquanto tooling de IA e politica de dados nao alcancam, e os gates multi-fornecedor nao comprimem, os ganhos ficam no piso. O score atual (3) esta a um sinal do Low."
Readiness Scenario,(current) Mid readiness,,~12-16%,score range 3-5,"Comprimir o loop de aprovacao multi-fornecedor (decisor empoderado, SLA de 24h efetivamente cumprido); Contratar/Swagger as 29/30 APIs para reduzir codigo fora da fronteira",,"Cenario atual (score 3, no piso do Mid). O vies de velocidade e a higiene de ambiente sustentam ganho moderado, mas o onus de compliance multi-fornecedor e o legado sem contrato limitam a captura."
Readiness Scenario,High readiness,,~16-22%,score range 6-8,,,"Com politica de IA publicada, tooling aprovado, ambiente contratado e aprovacao comprimida, a captura sobe para o topo da banda. Um cliente mais rapido captura mais."
Category,Documentation & Knowledge Management,~35-55%,~13-19%,"Meeting notes & summaries; Generate documents; Knowledge transfer artifacts | epics: E11, E07, E08",,[7],"A categoria mais confiavel: num contexto regulado doc-pesado (matriz de rastreabilidade, evidencia de teste, runbooks de cutover em E11, documentacao de habilitacao FSC em E07/E08), a IA acelera geracao e sumarizacao de forma consistente. O ganho e capturado quase todo porque nao ha imposto de verificacao de codigo aqui."
Category,Analysis & Design,~30-50%,~11-17%,"Write user stories; Analysis & design models | epics: E01, E02, E04, E05",,[2]; [4],"Rascunho de user stories, mapeamento Lead->LoanApplicant e modelos de analise ganham na primeira versao gerada por IA nos pilares funcionais. O refinamento com stakeholder e a ratificacao de conflitos de fonte (Fase 0) seguem humanos, o que cap o ganho liquido."
Category,Technical Engineering & QA,~25-45%,~9-15%,"Create Code (enterprise/legacy); Analyze Code & Fix Defects; Write Test Classes; Generate Test Data | epics: E04, E02, E09, E10, E11",,[1]; [4]; [8],"Maior ganho bruto do programa (E04-XL, mais os L de integracao/migracao) mas tambem o maior imposto de IA: refactor de callouts Apex e reaponte das 30 integracoes legadas sem contrato (E09) e regressao in-place ampla (E11) sao codigo fora da fronteira, onde revisao e verificacao consomem parte do ganho. Por isso o realizado fica abaixo de Documentacao apesar do task-level alto."
Category,Project Management & Operations,~15-30%,~6-11%,"Status reports; Coordination & scheduling | epics: E11, E10",,[7],A categoria mais baixa: a coordenacao multi-fornecedor (SF/DSP/Sinqia/Evertec) e o alinhamento de gates de aprovacao sao trabalho humano-a-humano que a IA sumariza mas nao conduz. O ganho fica em relatorios e artefatos de status.
Human Barrier,Project Pulse / relatorios de saude do programa,,~0%,,Trabalho de construcao de confianca que a IA sumariza mas nao facilita.,,
Human Barrier,Alinhamento de stakeholders,,~0%,,"Negociacao humano-a-humano; a IA rascunha posicoes, as pessoas decidem.",,
Human Barrier,Resolucao de conflitos,,~0%,,Julgamento humano.,,
Human Barrier,Aprovacao multi-fornecedor antes de cada pilar (SF/DSP/Sinqia/Evertec),,~0%,,Sign-off contratual e de governanca entre partes; nenhuma IA acelera o mandato de decisao alheio.,,
Human Barrier,Ratificacao dos conflitos de fonte na Fase 0 (G0012 adoção FSC nativo),,~0%,,Decisao de escopo load-bearing do cliente; a IA nao pode ratificar.,,
Human Barrier,"Sign-off regulatorio (LGPD, antifraude/biometria)",,~0%,,Responsabilidade de compliance humana e auditavel.,,
Human Barrier,Decisao de cutover irreversivel (habilitacao de Person Accounts),,~0%,,Ação de mao unica que exige julgamento e autorizacao humana apos ensaio full-copy.,,
