Item ID,Item Type,T-Shirt Size,Size Rationale,Size If Assumption Breaks,Complexity Drivers,Skills Needed,Risks,Solution Approach,Confidence
E01,epic,M,Vários drivers em M (dados + integração + UI); nenhum em L. Pilar já em QA reduz risco de retrabalho.,,Remap da entidade-base para Person Account; enriquecimento externo; reaproveitamento de 9 componentes existentes.,"Arquiteto FSC, Desenvolvedor LWC/Apex, Especialista de integração",Mapeamento Lead→LoanApplicant a validar na Fase 0; Person Accounts desabilitado hoje vs. conversão descrita (G0701),Migrar captação para objetos FSC reaproveitando componentes; enriquecimento JUCESP e callout de simulação reapontados.,Confirmed
E02,epic,L,"Integração L domina, com múltiplos M ao redor. Composição L.",,Alta densidade de integração; validação facial (BioValid) e Serpro e-CAC externos; refatoração Serasa prevista.,"Arquiteto de integração, Desenvolvedor Apex, Especialista BRE/PCM",29/30 APIs sem contrato/Swagger; contratos BioValid/Serpro a confirmar (G0013),Migrar CreditApplication__c para RLA; elegibilidade sobre BRE/PCM; reaponte da superfície de integração (não reconstrução).,Confirmed
E03,epic,S,Pilar mais leve — leitura + reuso de componentes; integração de leitura não eleva além de S.,,Essencialmente camada de leitura; baixa lógica de negócio própria.,"Desenvolvedor LWC, Especialista de integração (leitura)",Inventário de componentes reaproveitáveis a validar no build atual,Migrar leitura para objetos FSC reaproveitando componentes da Home.,Confirmed
E04,epic,XL,Três dimensões em L (dados + integração + UI) → breadth bump. Maior superfície de migração da onda de build.,,Maior pilar; modelo de dados de tomador/garantias mais rico; upload S3 externo; Central de Pendências net-new.,"Arquiteto FSC, Desenvolvedor LWC/Apex sênior, Arquiteto de integração",Garantia__c→collateral destino a confirmar (G0404); repositório >12MB (Agro) diferido (G0603); maior risco de cronograma isolado,"Migrar dados de tomador/garantias para objetos FSC nativos; Central de Pendências substitui vaivém de e-mail; upload via S3 (MuleSoft guarda binário, envia referência ao Sinqia).",Confirmed
E05,epic,L,Múltiplos M com padrão event-first; a reanálise elevou de M para L ao absorver o aceite (F13).,,Padrão event-driven; fronteira P3↔P5 a reconciliar; efetivação no core.,"Arquiteto de integração (Platform Events), Desenvolvedor Apex",Fronteira P3↔P5 não reconciliada (G0511) — risco de dupla contagem/buraco de escopo,Aceite síncrono sobre objetos FSC; efetivação disparada por Platform Event consumido pelo MuleSoft.,Confirmed
E06,epic,M,Integração + UI em M; sem driver L. Provedor de assinatura indefinido mantém escopo mínimo (assinatura manual).,M; L se assinatura digital com provedor complexo entrar no escopo (G0601),Download/upload de CCB; Meus Contratos; provedor de assinatura digital indefinido.,"Desenvolvedor LWC/Apex, Especialista de integração",Provedor de assinatura digital da CCB indefinido (G0601),Migrar fluxo de formalização (CCB) para objetos FSC; MVP com assinatura manual até definição do provedor.,Confirmed
E07,epic,L,Modelo de dados L domina (fundação nativa); demais em M. Cabeça do caminho crítico.,L; recua para S/M (reaponte leve) se a Fase 0 não ratificar a adoção FSC nativa (G0012),Adoção do modelo nativo hoje com zero registros; habilitação irreversível de Person Accounts.,"Arquiteto FSC, Arquiteto de dados",Adoção FSC nativa em 'REVISAR' (G0012); Person Accounts irreversível (G0701); permanência de licenças (G0807/G0704),Habilitar Person Accounts e adotar objetos nativos de lending; ensaiar em full-copy antes do cutover.,Confirmed
E08,epic,L,PCM (modelo de dados L) domina; BRE em M. Depende de E07 existir.,L; recua para S/M se a adoção FSC nativa não for ratificada (G0012),Reestruturação de catálogo em PCM; regras de elegibilidade em BRE/DecisionTable; Instituicao__c→Account.,"Especialista PCM, Especialista BRE, Arquiteto FSC",Adoção FSC nativa em 'REVISAR' (G0012); permanência de licenças Industries (G0807),"Adotar PCM para catálogo, BRE/DecisionTable para elegibilidade, Account (Record Type) para instituições; manter Metrica__c.",Confirmed
E09,epic,L,"Integração multi-sistema L por volume (30); reaponte, não reconstrução, contém o tamanho.",L; XL se contratos das System APIs mudarem e a transformação MuleSoft entrar no escopo (G0013),Volume de 30 integrações; 29/30 sem Swagger/contrato; write-back PUT/PATCH pendente.,"Arquiteto de integração, Desenvolvedor Apex",Contratos das System APIs instáveis (G0013) — maior risco de cronograma (~+42%),Reapontar apenas o lado Salesforce de cada integração aos objetos FSC; APIs no barramento não reconstruídas.,Confirmed
E10,epic,L,Migração multi-objeto L; volume de produção desconhecido → dimensão conservadora e confiança Assumed.,L; XL se volume de produção >500k ou dado sujo (contagens atuais são do sandbox HML; G1004),"Conversão + descomissionamento (Simulacao__c, Parcela__c); reconciliação; Lead 10.105 não endereçado.","Engenheiro de dados/migração, Arquiteto FSC",Volume de produção não confirmado (contagens do sandbox HML); G1004,ETL/conversão para objetos nativos; desativar objetos superados; manter Metrica__c/AntiFraud; reconciliar.,Assumed
E11,epic,L,Regressão in-place ampla + cutover irreversível + governança de pipeline → L. Depende de E10.,,Regressão in-place num org brownfield vivo; cutover irreversível (habilitação Person Accounts em produção); hypercare.,"QA Lead, Engenheiro de DevOps/release, Arquiteto FSC",Regressão in-place ampla é o maior risco da migração; cutover irreversível (ensaio full-copy obrigatório),"SIT/UAT, regressão in-place ampla, governança de pipeline/metadados, cutover com ensaio full-copy + hypercare.",Confirmed
