Section,Name,Task-Level Band,Realized Band,Driving / Amplified,Human-Only / Evidence,Sources,Narrative
Headline,Blended project-level,~32-48%,~11-22%,,Assumed,[1]; [2]; [3]; [4]; [7]; [8]; [11],"Task-level 32-48% × realization factor 0.35-0.45 = ~11-22% (mid ~16%) before readiness modulation. Amdahl's law (coding ~30% of project effort, coding gains 20% → blended project gain ~6 percentage points from coding alone), AI tax (code review burden, NLU training ownership ambiguity G0202, API specs pending G0301/G0302, LGPD compliance audit trail overhead), and human-barrier work (Phase 0 gap resolution 133 gaps + 17 Qs, Meta approval 2-8w, SEFIN-CE stakeholder alignment) reduce task-level gains to project-level realized band."
Realization Factor,0.35-0.45,,,"Regulated industry (LGPD Art. 11); Mixed config + custom dev; Standard enterprise government client; Government approval overhead (SEFIN-CE, DATAPREV CTID, Meta)",,,"Regulated industry (LGPD Art. 11 CPF/CNPJ sensitive data), legacy-ish integration pattern (Flow Orchestration + Apex, not greenfield), standard enterprise client (government DATAPREV delivery, SEFIN-CE stakeholders), NOT senior-only team (TA + TC + EA + PM mix) → mid-range realization factor 0.40 from benchmarks.md table row 'Regulated industry, heavy legacy integration, senior-only team' adjusted down (not ALL senior, not HEAVY legacy)."
Readiness Signal,AI tooling posture,,,score 0/2,Discovery shows no mention of approved AI tools for Salesforce PS team or SEFIN-CE stakeholders; government client (slower procurement for AI tooling); DATAPREV as intermediary may have policy barriers; no IDE AI (Copilot/Claude) confirmed.,,
Readiness Signal,Delivery velocity / speed bias,,,score 1/2,Government project (SEFIN municipal + DATAPREV federal intermediary) → quarterly/slow-moving procurement typical; BUT: urgency to replace incumbent MUTANTE (R$ 1.7M/yr dissatisfaction) + greenfield ORG (no legacy migration burden) → mid-range velocity; Phase 0 'target <3 semanas' shows some urgency.,,
Readiness Signal,Data & environment hygiene,,,score 1/2,"Greenfield ORG (clean start, no legacy tech debt) + Hyperforce Brazil (modern DevOps) → positive signals; BUT: 133 gaps (missing req, API specs pending, ambiguities) + 17 open questions + 4 BLOCKERS (G0301/G0302 API specs, Meta approval timeline, ISS flow undefined) → data/requirements hygiene moderate, not excellent.",,
Readiness Signal,Legal / security / compliance posture,,,score 1/2,"LGPD Art. 11 (CPF/CNPJ sensitive data) + government regulatory environment → mandatory security review; Hyperforce Brazil data residency validation pending (P-22) + TDE vs Shield legal interpretation unclear (G0611) + LGPD consent for proactive marketing undefined (G0809) → policy in-draft, not published; NOT comfortable with AI-in-IDE / proprietary code in prompts (no evidence of approval).",,
Readiness Scenario,Low readiness,,~9-11%,score range 0-2,Approve Copilot/Claude for in-IDE use (Salesforce PS team + DATAPREV); Publish AI data-handling policy (LGPD-compliant for CPF/CNPJ sensitive data in prompts),,"Gains stay modest until AI tooling approved and LGPD policy published. No IDE AI tools, government approval cycles slow."
Readiness Scenario,(current) Mid readiness,,~12-19%,score range 3-5,Approve AI-in-IDE for PS team (Copilot/Claude); Publish LGPD AI data-handling policy (CPF/CNPJ prompts permitted); Faster approval cycles (SEFIN-CE stakeholders responsive <2 weeks for gap resolution),,"Standard government project readiness — greenfield ORG favors gains, but AI tooling policy and slow approval cycles cap upside. Gains cluster in documentation (UX reports, security baseline) and Einstein Bot NLU drafting; coding and API integration carry the AI tax (review burden on LGPD compliance + connectivity validation)."
Readiness Scenario,High readiness,,~22-26%,score range 6-8,,,"Conditions favor the upper end — AI tooling approved, LGPD policy clear, fast client. A faster government client with approved AI-in-IDE captures more. Not expected given current signals, but achievable if DATAPREV/SEFIN-CE accelerate policy."
Category,Technical Engineering & QA,~20-45%,~8-18%,"Create Code (realistic enterprise / legacy); Analyze Code & Fix Defects; Generate Test Data; Write Test Classes | epics: E02, E03, E06",,[1]; [3]; [4]; [8],"Einstein Bot Apex validators (CPF checksum, slot filling regex) and 4 API REST callouts (EmitirDamUnico, ConsultaImovel, CRM SEFIN, Dados Cadastrais) benefit from code drafting (~20% task-level per [1][4] realistic enterprise row), but LGPD compliance review burden (CPF/CNPJ sensitive data Art. 11) + connectivity validation (ping/curl test G0303) + API specs pending (G0301/G0302 BLOCKER) raise the AI tax — code cloning rose 8.3% → 12.3%, refactoring fell 25% → <10% per [8]. Test data generation (NLU training utterances 50-100/intent, mock API responses) gains ~35% task-level per [3][11], but NLU training ownership undefined (G0202) caps realized gain to ~15% after review cycles."
